,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722724326.084147000,2.17.197.249,10.0.3.15,TCP,1514,80,49853,,,,
1,1722724326.084147000,2.17.197.249,10.0.3.15,TCP,1490,80,49853,,,,
2,1722724326.084214000,10.0.3.15,2.17.197.249,TCP,54,49853,80,,,,
3,1722724326.090457000,2.17.197.240,10.0.3.15,TCP,1514,80,49849,,,,
4,1722724326.090457000,2.17.197.240,10.0.3.15,HTTP,1490,80,49849,,,,
5,1722724326.090513000,10.0.3.15,2.17.197.240,TCP,54,49849,80,,,,
6,1722724326.095340000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
7,1722724326.095648000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
8,1722724326.095648000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
9,1722724326.095648000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
10,1722724326.095648000,104.90.25.41,10.0.3.15,TCP,1466,443,49717,,,,
11,1722724326.095711000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
12,1722724326.095839000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
13,1722724326.103887000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
14,1722724326.103887000,104.90.25.41,10.0.3.15,TCP,1490,443,49717,,,,
15,1722724326.103943000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
16,1722724326.118099000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
17,1722724326.118205000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
18,1722724326.123539000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
19,1722724326.123539000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
20,1722724326.123539000,104.90.25.41,10.0.3.15,TCP,1478,443,49717,,,,
21,1722724326.123601000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
22,1722724326.150480000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
23,1722724326.150480000,104.90.25.41,10.0.3.15,TCP,1514,443,49717,,,,
24,1722724326.150480000,104.90.25.41,10.0.3.15,TCP,1478,443,49717,,,,
25,1722724326.150579000,10.0.3.15,104.90.25.41,TCP,54,49717,443,,,,
26,1722724326.160866000,104.90.25.41,10.0.3.15,TCP,1502,443,49717,,,,
27,1722724326.160866000,2.17.197.240,10.0.3.15,TCP,1502,80,49849,,,,
28,1722724326.165860000,2.17.197.240,10.0.3.15,TCP,1514,80,49849,,,,
29,1722724326.165860000,2.17.197.240,10.0.3.15,HTTP,1514,80,49849,,,,
30,1722724326.165860000,2.17.197.240,10.0.3.15,TCP,1478,80,49849,,,,
31,1722724326.165860000,2.17.197.249,10.0.3.15,TCP,1514,80,49853,,,,
32,1722724326.165860000,2.17.197.249,10.0.3.15,HTTP,1490,80,49853,,,,
33,1722724326.165981000,10.0.3.15,2.17.197.240,TCP,54,49849,80,,,,
34,1722724326.165999000,10.0.3.15,2.17.197.249,TCP,54,49853,80,,,,
35,1722724326.173434000,2.17.197.240,10.0.3.15,TCP,1514,80,49849,,,,
36,1722724326.173434000,2.17.197.240,10.0.3.15,TCP,1490,80,49849,,,,
37,1722724326.173434000,2.17.197.249,10.0.3.15,TCP,1514,80,49853,,,,
