"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49985  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000195","192.168.56.101","192.168.56.102","TCP","60","443  >  49985 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.502076","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49985  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.502333","192.168.56.101","192.168.56.102","TCP","60","443  >  49985 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.008209","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49985  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.008413","192.168.56.101","192.168.56.102","TCP","60","443  >  49985 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.516918","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49985  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.517166","192.168.56.101","192.168.56.102","TCP","60","443  >  49985 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","2.031386","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49985  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","2.031625","192.168.56.101","192.168.56.102","TCP","60","443  >  49985 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.036211","192.168.56.102","192.168.56.101","TCP","66","49986  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.036643","192.168.56.101","192.168.56.102","TCP","60","80  >  49986 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","2.538721","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49986  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","2.538973","192.168.56.101","192.168.56.102","TCP","60","80  >  49986 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","3.054188","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49986  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"16","3.054423","192.168.56.101","192.168.56.102","TCP","60","80  >  49986 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","3.562967","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49986  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"18","3.563213","192.168.56.101","192.168.56.102","TCP","60","80  >  49986 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"19","4.077239","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49986  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"20","4.077623","192.168.56.101","192.168.56.102","TCP","60","80  >  49986 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","4.811297","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","Who has 192.168.56.101? Tell 192.168.56.102"
"22","4.811520","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","192.168.56.101 is at 08:00:27:d2:26:79"
"23","5.189807","PcsCompu_d2:26:79","PcsCompu_32:b5:a2","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101"
"24","5.189831","PcsCompu_32:b5:a2","PcsCompu_d2:26:79","ARP","42","192.168.56.102 is at 08:00:27:32:b5:a2"
"25","64.091897","192.168.56.102","192.168.56.101","TCP","66","49987  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"26","64.092201","192.168.56.101","192.168.56.102","TCP","66","443  >  49987 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"27","64.092255","192.168.56.102","192.168.56.101","TCP","54","49987  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"28","64.092622","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"29","64.092841","192.168.56.101","192.168.56.102","TCP","60","443  >  49987 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"30","64.104112","192.168.56.101","192.168.56.102","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data, Application Data"
"31","64.104112","192.168.56.101","192.168.56.102","TLSv1.3","304","Application Data, Application Data"
"32","64.104138","192.168.56.102","192.168.56.101","TCP","54","49987  >  443 [ACK] Seq=240 Ack=1711 Win=262656 Len=0"
"33","64.105213","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"34","64.105431","192.168.56.102","192.168.56.101","TLSv1.3","1262","Application Data"
"35","64.105457","192.168.56.102","192.168.56.101","TLSv1.3","1640","Application Data"
"36","64.105595","192.168.56.101","192.168.56.102","TCP","60","443  >  49987 [ACK] Seq=1711 Ack=3098 Win=31872 Len=0"
"37","64.118883","192.168.56.101","192.168.56.102","TLSv1.3","1190","Application Data"
"38","64.119295","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"39","64.119378","192.168.56.102","192.168.56.101","TCP","54","49987  >  443 [FIN, ACK] Seq=3122 Ack=2847 Win=261632 Len=0"
"40","64.119607","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"41","64.119607","192.168.56.101","192.168.56.102","TCP","60","443  >  49987 [FIN, ACK] Seq=2871 Ack=3123 Win=31872 Len=0"
"42","64.119635","192.168.56.102","192.168.56.101","TCP","54","49987  >  443 [RST, ACK] Seq=3123 Ack=2871 Win=0 Len=0"
"43","64.119855","192.168.56.102","192.168.56.101","TCP","66","49988  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"44","64.119996","192.168.56.101","192.168.56.102","TCP","66","443  >  49988 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"45","64.120030","192.168.56.102","192.168.56.101","TCP","54","49988  >  443 [ACK] Seq=1 Ack=1 Win=2097920 Len=0"
"46","64.120247","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"47","64.120410","192.168.56.101","192.168.56.102","TCP","60","443  >  49988 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"48","64.123864","192.168.56.102","192.168.56.101","TCP","66","49989  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
