,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1721134570.789605000,192.168.56.102,192.168.56.101,TCP,66,49697,443,,,,
1,1721134570.789852000,192.168.56.101,192.168.56.102,TCP,66,443,49697,,,,
2,1721134570.789898000,192.168.56.102,192.168.56.101,TCP,54,49697,443,,,,
3,1721134570.790194000,192.168.56.102,192.168.56.101,TCP,293,49697,443,,,,
4,1721134570.790321000,192.168.56.101,192.168.56.102,TCP,60,443,49697,,,,
5,1721134570.791695000,192.168.56.101,192.168.56.102,TCP,1249,443,49697,,,,
6,1721134570.792277000,192.168.56.102,192.168.56.101,TCP,118,49697,443,,,,
7,1721134570.792477000,192.168.56.102,192.168.56.101,TCP,748,49697,443,,,,
8,1721134570.792614000,192.168.56.101,192.168.56.102,TCP,60,443,49697,,,,
9,1721134570.793535000,192.168.56.101,192.168.56.102,TCP,464,443,49697,,,,
10,1721134570.797478000,192.168.56.102,192.168.56.101,TCP,78,49697,443,,,,
11,1721134570.797525000,192.168.56.102,192.168.56.101,TCP,54,49697,443,,,,
12,1721134570.797569000,192.168.56.102,192.168.56.101,TCP,66,49698,443,,,,
13,1721134570.797717000,192.168.56.101,192.168.56.102,TCP,78,443,49697,,,,
14,1721134570.797717000,192.168.56.101,192.168.56.102,TCP,66,443,49698,,,,
15,1721134570.797741000,192.168.56.102,192.168.56.101,TCP,54,49697,443,,,,
16,1721134570.797785000,192.168.56.102,192.168.56.101,TCP,54,49698,443,,,,
17,1721134570.797858000,192.168.56.101,192.168.56.102,TCP,60,443,49697,,,,
18,1721134570.797955000,192.168.56.102,192.168.56.101,TCP,293,49698,443,,,,
19,1721134570.798078000,192.168.56.101,192.168.56.102,TCP,60,443,49698,,,,
20,1721134570.799555000,192.168.56.101,192.168.56.102,TCP,1249,443,49698,,,,
21,1721134570.799969000,192.168.56.102,192.168.56.101,TCP,118,49698,443,,,,
22,1721134570.800029000,192.168.56.102,192.168.56.101,TCP,1262,49698,443,,,,
23,1721134570.800061000,192.168.56.102,192.168.56.101,TCP,2448,49698,443,,,,
24,1721134570.800082000,192.168.56.102,192.168.56.101,TCP,614,49698,443,,,,
25,1721134570.800155000,192.168.56.102,192.168.56.101,TCP,523,49698,443,,,,
26,1721134570.800200000,192.168.56.101,192.168.56.102,TCP,60,443,49698,,,,
27,1721134570.830306000,192.168.56.101,192.168.56.102,TCP,157,443,49698,,,,
28,1721134570.839725000,192.168.56.102,192.168.56.101,TCP,78,49698,443,,,,
29,1721134570.839806000,192.168.56.102,192.168.56.101,TCP,54,49698,443,,,,
