,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1722788088.550178000,10.0.3.15,239.255.255.250,UDP,217,60505,1900,,,,,,,,
1,1722788089.008077000,10.0.3.15,10.0.3.3,UDP,88,59408,53,,,,,,,,
2,1722788089.033390000,10.0.3.3,10.0.3.15,UDP,370,53,59408,,,,,,,,
3,1722788089.037940000,10.0.3.15,20.114.58.89,HTTPS,66,49877,443,,,,,,,,
4,1722788089.209946000,20.114.58.89,10.0.3.15,HTTPS,60,443,49877,,,,,,,,
5,1722788089.210034000,10.0.3.15,20.114.58.89,HTTPS,54,49877,443,,,,,,,,
6,1722788089.212070000,10.0.3.15,20.114.58.89,HTTPS,356,49877,443,,,,,,,,
7,1722788089.212199000,20.114.58.89,10.0.3.15,HTTPS,60,443,49877,,,,,,,,
8,1722788089.385194000,20.114.58.89,10.0.3.15,HTTPS,1514,443,49877,,,,,,,,
9,1722788089.386039000,20.114.58.89,10.0.3.15,HTTPS,1514,443,49877,,,,,,,,
10,1722788089.386078000,10.0.3.15,20.114.58.89,HTTPS,54,49877,443,,,,,,,,
11,1722788089.386202000,20.114.58.89,10.0.3.15,HTTPS,1005,443,49877,,,,,,,,
12,1722788089.391953000,10.0.3.15,20.114.58.89,HTTPS,212,49877,443,,,,,,,,
13,1722788089.392151000,20.114.58.89,10.0.3.15,HTTPS,60,443,49877,,,,,,,,
14,1722788089.498435000,10.0.3.15,10.0.3.3,UDP,71,54730,53,,,,,,,,
15,1722788089.498581000,10.0.3.15,10.0.3.3,UDP,71,51593,53,,,,,,,,
16,1722788089.517789000,10.0.3.3,10.0.3.15,UDP,146,53,54730,,,,,,,,
17,1722788089.523645000,10.0.3.15,204.79.197.203,HTTPS,66,49878,443,,,,,,,,
18,1722788089.528943000,10.0.3.15,10.0.3.3,UDP,71,62511,53,,,,,,,,
19,1722788089.529544000,10.0.3.3,10.0.3.15,UDP,203,53,62511,,,,,,,,
20,1722788089.535607000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
21,1722788089.535714000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
22,1722788089.536079000,10.0.3.15,204.79.197.203,HTTPS,1807,49878,443,,,,,,,,
23,1722788089.536219000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
24,1722788089.536219000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
25,1722788089.537165000,10.0.3.3,10.0.3.15,UDP,187,53,51593,,,,,,,,
26,1722788089.556693000,204.79.197.203,10.0.3.15,HTTPS,153,443,49878,,,,,,,,
27,1722788089.557783000,10.0.3.15,204.79.197.203,HTTPS,653,49878,443,,,,,,,,
28,1722788089.557971000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
29,1722788089.564047000,20.114.58.89,10.0.3.15,HTTPS,105,443,49877,,,,,,,,
30,1722788089.572659000,10.0.3.15,20.114.58.89,HTTPS,141,49877,443,,,,,,,,
31,1722788089.572757000,10.0.3.15,20.114.58.89,HTTPS,416,49877,443,,,,,,,,
32,1722788089.572914000,20.114.58.89,10.0.3.15,HTTPS,60,443,49877,,,,,,,,
33,1722788089.572914000,20.114.58.89,10.0.3.15,HTTPS,60,443,49877,,,,,,,,
34,1722788089.572934000,10.0.3.15,20.114.58.89,HTTPS,2644,49877,443,,,,,,,,
35,1722788089.573162000,20.114.58.89,10.0.3.15,HTTPS,60,443,49877,,,,,,,,
36,1722788089.573162000,20.114.58.89,10.0.3.15,HTTPS,60,443,49877,,,,,,,,
37,1722788089.580630000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
38,1722788089.581266000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
39,1722788089.581302000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
40,1722788089.581427000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
41,1722788089.581503000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
42,1722788089.581503000,204.79.197.203,10.0.3.15,HTTPS,196,443,49878,,,,,,,,
43,1722788089.581522000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
44,1722788089.583416000,10.0.3.15,204.79.197.203,HTTPS,128,49878,443,,,,,,,,
45,1722788089.583584000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
46,1722788089.583634000,10.0.3.15,204.79.197.203,HTTPS,146,49878,443,,,,,,,,
47,1722788089.583762000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
48,1722788089.583924000,10.0.3.15,204.79.197.203,HTTPS,3349,49878,443,,,,,,,,
49,1722788089.584134000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
50,1722788089.584134000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
51,1722788089.584134000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
52,1722788089.603694000,204.79.197.203,10.0.3.15,HTTPS,575,443,49878,,,,,,,,
53,1722788089.604137000,10.0.3.15,204.79.197.203,HTTPS,85,49878,443,,,,,,,,
54,1722788089.604311000,204.79.197.203,10.0.3.15,HTTPS,60,443,49878,,,,,,,,
55,1722788089.617980000,204.79.197.203,10.0.3.15,HTTPS,85,443,49878,,,,,,,,
56,1722788089.643040000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
57,1722788089.643079000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
58,1722788089.643954000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
59,1722788089.644064000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
60,1722788089.644076000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
61,1722788089.644193000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
62,1722788089.644310000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
63,1722788089.644330000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
64,1722788089.644434000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
65,1722788089.644557000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
66,1722788089.644583000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
67,1722788089.644647000,204.79.197.203,10.0.3.15,HTTPS,1126,443,49878,,,,,,,,
68,1722788089.644767000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
69,1722788089.644779000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
70,1722788089.644883000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
71,1722788089.644956000,204.79.197.203,10.0.3.15,HTTPS,1261,443,49878,,,,,,,,
72,1722788089.644965000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
73,1722788089.645071000,204.79.197.203,10.0.3.15,HTTPS,520,443,49878,,,,,,,,
74,1722788089.645343000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
75,1722788089.645356000,10.0.3.15,204.79.197.203,HTTPS,54,49878,443,,,,,,,,
76,1722788089.645506000,204.79.197.203,10.0.3.15,HTTPS,1514,443,49878,,,,,,,,
