,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1725009808.412404000,0,0,,42,0,0,,,,,,,,
1,1725009808.412549000,0,0,,60,0,0,,,,,,,,
2,1725009808.412561000,192.168.56.102,192.168.56.100,UDP,356,68,67,,,,,,,,
3,1725009808.416981000,192.168.56.100,192.168.56.102,UDP,590,67,68,,,,,,,,
4,1725009808.419257000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
5,1725009808.419309000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
6,1725009808.421571000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
7,1725009808.421641000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
8,1725009808.421811000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
9,1725009808.421861000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
10,1725009808.422029000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
11,1725009808.422240000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
12,1725009808.423245000,192.168.56.102,224.0.0.251,UDP,80,5353,5353,,,,,,,,
13,1725009808.423400000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,100,5353,5353,,,,,,,,
14,1725009808.423562000,192.168.56.102,224.0.0.251,UDP,118,5353,5353,,,,,,,,
15,1725009808.423597000,fe80::9c4f:4e27:e09a:8d13,ff02::1:3,UDP,94,58804,5355,,,,,,,,
16,1725009808.423638000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,138,5353,5353,,,,,,,,
17,1725009808.423661000,192.168.56.102,224.0.0.252,UDP,74,58804,5355,,,,,,,,
18,1725009808.889281000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
19,1725009808.889328000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
20,1725009814.540508000,192.168.56.1,224.0.0.251,UDP,177,5353,5353,,,,,,,,
21,1725009814.540611000,fe80::800:27ff:fe00:0,ff02::fb,UDP,197,5353,5353,,,,,,,,
