,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722423098.040604000,192.168.56.102,192.168.56.101,TCP,66,49747,443,,,,
1,1722423098.040822000,192.168.56.101,192.168.56.102,TCP,60,443,49747,,,,
2,1722423098.545354000,192.168.56.102,192.168.56.101,TCP,66,49747,443,,,,
3,1722423098.545607000,192.168.56.101,192.168.56.102,TCP,60,443,49747,,,,
4,1722423099.059162000,192.168.56.102,192.168.56.101,TCP,66,49747,443,,,,
5,1722423099.059496000,192.168.56.101,192.168.56.102,TCP,60,443,49747,,,,
6,1722423099.571359000,192.168.56.102,192.168.56.101,TCP,66,49747,443,,,,
7,1722423099.571730000,192.168.56.101,192.168.56.102,TCP,60,443,49747,,,,
8,1722423100.082689000,192.168.56.102,192.168.56.101,TCP,66,49747,443,,,,
9,1722423100.082970000,192.168.56.101,192.168.56.102,TCP,60,443,49747,,,,
10,1722423100.086679000,192.168.56.102,192.168.56.101,TCP,66,49748,80,,,,
11,1722423100.086859000,192.168.56.101,192.168.56.102,TCP,60,80,49748,,,,
12,1722423100.597326000,192.168.56.102,192.168.56.101,TCP,66,49748,80,,,,
13,1722423100.597729000,192.168.56.101,192.168.56.102,TCP,60,80,49748,,,,
14,1722423101.104774000,192.168.56.102,192.168.56.101,TCP,66,49748,80,,,,
15,1722423101.105038000,192.168.56.101,192.168.56.102,TCP,60,80,49748,,,,
16,1722423101.618038000,192.168.56.102,192.168.56.101,TCP,66,49748,80,,,,
17,1722423101.618304000,192.168.56.101,192.168.56.102,TCP,60,80,49748,,,,
18,1722423102.121355000,192.168.56.102,192.168.56.101,TCP,66,49748,80,,,,
19,1722423102.121596000,192.168.56.101,192.168.56.102,TCP,60,80,49748,,,,
20,1722423102.863963000,0,0,,42,0,0,,,,
21,1722423102.864216000,0,0,,60,0,0,,,,
22,1722423103.157999000,0,0,,60,0,0,,,,
23,1722423103.158015000,0,0,,42,0,0,,,,
24,1722423142.323173000,192.168.56.102,239.255.255.250,UDP,217,64080,1900,,,,
25,1722423143.329625000,192.168.56.102,239.255.255.250,UDP,217,64080,1900,,,,
26,1722423144.335693000,192.168.56.102,239.255.255.250,UDP,217,64080,1900,,,,
27,1722423145.343238000,192.168.56.102,239.255.255.250,UDP,217,64080,1900,,,,
28,1722423162.129573000,192.168.56.102,192.168.56.101,TCP,66,49749,443,,,,
29,1722423162.129843000,192.168.56.101,192.168.56.102,TCP,60,443,49749,,,,
30,1722423162.635736000,192.168.56.102,192.168.56.101,TCP,66,49749,443,,,,
31,1722423162.636003000,192.168.56.101,192.168.56.102,TCP,60,443,49749,,,,
32,1722423163.148501000,192.168.56.102,192.168.56.101,TCP,66,49749,443,,,,
33,1722423163.148800000,192.168.56.101,192.168.56.102,TCP,60,443,49749,,,,
