"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"2","0.000371","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"3","1.000087","192.168.56.102","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"4","1.000427","fe80::9c4f:4e27:e09a:8d13","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"5","2.661908","192.168.56.102","192.168.56.101","TCP","66","49731  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","2.662114","192.168.56.101","192.168.56.102","TCP","60","443  >  49731 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","3.176743","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49731  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","3.176976","192.168.56.101","192.168.56.102","TCP","60","443  >  49731 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","3.686369","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49731  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","3.686646","192.168.56.101","192.168.56.102","TCP","60","443  >  49731 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","4.204102","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49731  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","4.204320","192.168.56.101","192.168.56.102","TCP","60","443  >  49731 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","4.709451","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49731  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","4.709659","192.168.56.101","192.168.56.102","TCP","60","443  >  49731 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","4.712340","192.168.56.102","192.168.56.101","TCP","66","49732  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
