"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49697  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000247","192.168.56.101","192.168.56.102","TCP","66","443  >  49697 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"3","0.000293","192.168.56.102","192.168.56.101","TCP","54","49697  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"4","0.000589","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"5","0.000716","192.168.56.101","192.168.56.102","TCP","60","443  >  49697 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"6","0.002090","192.168.56.101","192.168.56.102","TLSv1.3","1249","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"7","0.002672","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"8","0.002872","192.168.56.102","192.168.56.101","TLSv1.3","748","Application Data"
"9","0.003009","192.168.56.101","192.168.56.102","TCP","60","443  >  49697 [ACK] Seq=1196 Ack=998 Win=31872 Len=0"
"10","0.003930","192.168.56.101","192.168.56.102","TLSv1.3","464","Application Data"
"11","0.007873","192.168.56.102","192.168.56.101","TLSv1.3","78","Application Data"
"12","0.007920","192.168.56.102","192.168.56.101","TCP","54","49697  >  443 [FIN, ACK] Seq=1022 Ack=1606 Win=262656 Len=0"
"13","0.007964","192.168.56.102","192.168.56.101","TCP","66","49698  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"14","0.008112","192.168.56.101","192.168.56.102","TLSv1.3","78","Application Data"
"15","0.008112","192.168.56.101","192.168.56.102","TCP","66","443  >  49698 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"16","0.008136","192.168.56.102","192.168.56.101","TCP","54","49697  >  443 [RST, ACK] Seq=1023 Ack=1630 Win=0 Len=0"
"17","0.008180","192.168.56.102","192.168.56.101","TCP","54","49698  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"18","0.008253","192.168.56.101","192.168.56.102","TCP","60","443  >  49697 [FIN, ACK] Seq=1630 Ack=1023 Win=31872 Len=0"
"19","0.008350","192.168.56.102","192.168.56.101","TLSv1.3","293","Client Hello"
"20","0.008473","192.168.56.101","192.168.56.102","TCP","60","443  >  49698 [ACK] Seq=1 Ack=240 Win=32000 Len=0"
"21","0.009950","192.168.56.101","192.168.56.102","TLSv1.3","1249","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"22","0.010364","192.168.56.102","192.168.56.101","TLSv1.3","118","Change Cipher Spec, Application Data"
"23","0.010424","192.168.56.102","192.168.56.101","TLSv1.3","1262","Application Data"
"24","0.010456","192.168.56.102","192.168.56.101","TLSv1.3","2448","Application Data"
