"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.3.15","104.26.10.240","TLSv1.3","345","Client Hello"
"2","0.000155","104.26.10.240","10.0.3.15","TCP","60","443  >  49727 [ACK] Seq=1 Ack=292 Win=65535 Len=0"
"3","0.000279","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"4","0.000297","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=1449 Win=64240 Len=0"
"5","0.002897","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"6","0.004608","151.101.10.172","10.0.3.15","TCP","495","80  >  49712 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=441 [TCP segment of a reassembled PDU]"
"7","0.007189","151.101.10.172","10.0.3.15","TCP","1498","80  >  49712 [PSH, ACK] Seq=442 Ack=1 Win=65535 Len=1444 [TCP segment of a reassembled PDU]"
"8","0.007231","10.0.3.15","151.101.10.172","TCP","54","49712  >  80 [ACK] Seq=1 Ack=1886 Win=64240 Len=0"
"9","0.013399","151.101.10.172","10.0.3.15","TCP","1498","80  >  49712 [PSH, ACK] Seq=1886 Ack=1 Win=65535 Len=1444 [TCP segment of a reassembled PDU]"
"10","0.015964","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"11","0.016070","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=4345 Win=64240 Len=0"
"12","0.018663","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"13","0.031326","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"14","0.031492","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=7241 Win=64240 Len=0"
"15","0.039309","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"16","0.041943","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"17","0.041996","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=10137 Win=64240 Len=0"
"18","0.044592","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
"19","0.047133","151.101.10.172","10.0.3.15","TCP","1498","80  >  49712 [PSH, ACK] Seq=3330 Ack=1 Win=65535 Len=1444 [TCP segment of a reassembled PDU]"
"20","0.047177","10.0.3.15","151.101.10.172","TCP","54","49712  >  80 [ACK] Seq=1 Ack=4774 Win=64240 Len=0"
"21","0.061423","151.101.10.172","10.0.3.15","TCP","1498","80  >  49712 [PSH, ACK] Seq=4774 Ack=1 Win=65535 Len=1444 [TCP segment of a reassembled PDU]"
"22","0.064016","104.90.25.41","10.0.3.15","SSL","1502","Continuation Data"
