,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1721135256.480389000,192.168.56.102,239.255.255.250,UDP,217,54855,1900,,,,
1,1721135257.490886000,192.168.56.102,239.255.255.250,UDP,217,54855,1900,,,,
2,1721135258.492045000,192.168.56.102,239.255.255.250,UDP,217,54855,1900,,,,
3,1721135259.501642000,192.168.56.102,239.255.255.250,UDP,217,54855,1900,,,,
4,1721135260.729061000,192.168.56.102,192.168.56.101,TCP,66,49715,443,,,,
5,1721135260.729263000,192.168.56.101,192.168.56.102,TCP,60,443,49715,,,,
6,1721135261.254807000,192.168.56.102,192.168.56.101,TCP,66,49715,443,,,,
7,1721135261.255104000,192.168.56.101,192.168.56.102,TCP,60,443,49715,,,,
8,1721135261.766767000,192.168.56.102,192.168.56.101,TCP,66,49715,443,,,,
9,1721135261.767005000,192.168.56.101,192.168.56.102,TCP,60,443,49715,,,,
10,1721135262.282662000,192.168.56.102,192.168.56.101,TCP,66,49715,443,,,,
11,1721135262.282918000,192.168.56.101,192.168.56.102,TCP,60,443,49715,,,,
12,1721135262.782741000,192.168.56.102,192.168.56.101,TCP,66,49715,443,,,,
13,1721135262.783076000,192.168.56.101,192.168.56.102,TCP,60,443,49715,,,,
14,1721135262.786527000,192.168.56.102,192.168.56.101,TCP,66,49716,80,,,,
15,1721135262.786817000,192.168.56.101,192.168.56.102,TCP,66,80,49716,,,,
16,1721135262.786873000,192.168.56.102,192.168.56.101,TCP,54,49716,80,,,,
17,1721135262.787174000,192.168.56.102,192.168.56.101,HTTP,654,49716,80,POST,/php/namespaces/database/samples.html?p=56r042222&zt=404a60745,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
18,1721135262.787437000,192.168.56.101,192.168.56.102,TCP,60,80,49716,,,,
19,1721135262.789687000,192.168.56.101,192.168.56.102,HTTP,396,80,49716,,,,
20,1721135262.794991000,192.168.56.102,192.168.56.101,TCP,54,49716,80,,,,
21,1721135262.795146000,192.168.56.102,192.168.56.101,TCP,66,49717,80,,,,
22,1721135262.795280000,192.168.56.101,192.168.56.102,TCP,60,80,49716,,,,
23,1721135262.795303000,192.168.56.102,192.168.56.101,TCP,54,49716,80,,,,
24,1721135262.795412000,192.168.56.101,192.168.56.102,TCP,66,80,49717,,,,
25,1721135262.795443000,192.168.56.102,192.168.56.101,TCP,54,49717,80,,,,
26,1721135262.795663000,192.168.56.102,192.168.56.101,HTTP,952,49717,80,POST,/oauth/samples.php?i=45p813613,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
27,1721135262.795871000,192.168.56.101,192.168.56.102,TCP,60,80,49717,,,,
28,1721135262.804744000,192.168.56.101,192.168.56.102,HTTP,135,80,49717,,,,
29,1721135262.804977000,192.168.56.102,192.168.56.101,TCP,54,49717,80,,,,
30,1721135262.805314000,192.168.56.101,192.168.56.102,TCP,60,80,49717,,,,
31,1721135262.805328000,192.168.56.102,192.168.56.101,TCP,54,49717,80,,,,
32,1721135263.807613000,192.168.56.102,192.168.56.101,TCP,66,49718,80,,,,
33,1721135263.807907000,192.168.56.101,192.168.56.102,TCP,66,80,49718,,,,
34,1721135263.807961000,192.168.56.102,192.168.56.101,TCP,54,49718,80,,,,
35,1721135263.808247000,192.168.56.102,192.168.56.101,HTTP,505,49718,80,POST,/api.php?a=965a20865,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
36,1721135263.808461000,192.168.56.101,192.168.56.102,TCP,60,80,49718,,,,
37,1721135263.809203000,192.168.56.101,192.168.56.102,HTTP,135,80,49718,,,,
38,1721135263.809406000,192.168.56.102,192.168.56.101,HTTP,526,49718,80,GET,/app.js?h=348265d81,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
39,1721135263.812021000,192.168.56.101,192.168.56.102,HTTP,287,80,49718,,,,
40,1721135263.821290000,192.168.56.102,192.168.56.101,TCP,54,49718,80,,,,
41,1721135263.821554000,192.168.56.101,192.168.56.102,TCP,60,80,49718,,,,
42,1721135263.821575000,192.168.56.102,192.168.56.101,TCP,54,49718,80,,,,
43,1721135281.113132000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,
44,1721135281.113641000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,
45,1721135281.120293000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,
46,1721135281.120580000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,
47,1721135282.122331000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,
48,1721135282.122655000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,
49,1721135282.122993000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,
50,1721135282.123306000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,
51,1721135331.488892000,192.168.56.102,192.168.56.101,TCP,66,49719,80,,,,
52,1721135331.489162000,192.168.56.101,192.168.56.102,TCP,66,80,49719,,,,
53,1721135331.489221000,192.168.56.102,192.168.56.101,TCP,54,49719,80,,,,
54,1721135331.489501000,192.168.56.102,192.168.56.101,HTTP,610,49719,80,POST,/database/oauth2callback/namespaces/db/api.php?w=p71w287912,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
55,1721135331.489691000,192.168.56.101,192.168.56.102,TCP,60,80,49719,,,,
56,1721135331.490289000,192.168.56.101,192.168.56.102,HTTP,135,80,49719,,,,
57,1721135331.490486000,192.168.56.102,192.168.56.101,HTTP,543,49719,80,GET,/bundle/scripts/route.js?v=4196745p0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
58,1721135331.505982000,192.168.56.101,192.168.56.102,HTTP,727,80,49719,,,,
59,1721135331.506203000,192.168.56.102,192.168.56.101,TCP,54,49719,80,,,,
60,1721135331.506405000,192.168.56.101,192.168.56.102,TCP,60,80,49719,,,,
61,1721135331.506421000,192.168.56.102,192.168.56.101,TCP,54,49719,80,,,,
62,1721135336.720330000,0,0,,60,0,0,,,,
63,1721135336.720357000,0,0,,42,0,0,,,,
64,1721135376.492572000,192.168.56.102,239.255.255.250,UDP,217,54856,1900,,,,
65,1721135377.495149000,192.168.56.102,239.255.255.250,UDP,217,54856,1900,,,,
66,1721135378.503467000,192.168.56.102,239.255.255.250,UDP,217,54856,1900,,,,
67,1721135379.510326000,192.168.56.102,239.255.255.250,UDP,217,54856,1900,,,,
68,1721135384.296160000,fe80::a3a5:d549:98af:516d,ff02::2,,62,0,0,,,,
69,1721135396.324777000,192.168.56.102,192.168.56.101,TCP,66,49720,80,,,,
70,1721135396.325039000,192.168.56.101,192.168.56.102,TCP,66,80,49720,,,,
71,1721135396.325097000,192.168.56.102,192.168.56.101,TCP,54,49720,80,,,,
72,1721135396.325312000,192.168.56.102,192.168.56.101,HTTP,542,49720,80,POST,/api.php?k=287y30827,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
73,1721135396.325489000,192.168.56.101,192.168.56.102,TCP,60,80,49720,,,,
74,1721135396.349776000,192.168.56.101,192.168.56.102,HTTP,135,80,49720,,,,
75,1721135396.349982000,192.168.56.102,192.168.56.101,TCP,54,49720,80,,,,
76,1721135396.350196000,192.168.56.102,192.168.56.101,TCP,66,49721,80,,,,
77,1721135396.350246000,192.168.56.101,192.168.56.102,TCP,60,80,49720,,,,
78,1721135396.350265000,192.168.56.102,192.168.56.101,TCP,54,49720,80,,,,
79,1721135396.350371000,192.168.56.101,192.168.56.102,TCP,66,80,49721,,,,
80,1721135396.350414000,192.168.56.102,192.168.56.101,TCP,54,49721,80,,,,
81,1721135396.350536000,192.168.56.102,192.168.56.101,HTTP,535,49721,80,GET,/bundle/jquery.js?_=81109073,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.9667.115 Safari/537.36"
82,1721135396.350733000,192.168.56.101,192.168.56.102,TCP,60,80,49721,,,,
83,1721135396.350924000,192.168.56.101,192.168.56.102,HTTP,290,80,49721,,,,
84,1721135396.352888000,192.168.56.102,192.168.56.101,TCP,54,49721,80,,,,
85,1721135396.353113000,192.168.56.101,192.168.56.102,TCP,60,80,49721,,,,
