,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1720617388.637272000,192.168.56.102,239.255.255.250,UDP,217,55538,1900,,,,
1,1720617389.639556000,192.168.56.102,239.255.255.250,UDP,217,55538,1900,,,,
2,1720617392.976213000,192.168.56.102,192.168.56.101,TCP,66,49683,8888,,,,
3,1720617392.976435000,192.168.56.101,192.168.56.102,TCP,66,8888,49683,,,,
4,1720617392.976476000,192.168.56.102,192.168.56.101,TCP,54,49683,8888,,,,
5,1720617392.976667000,192.168.56.102,192.168.56.101,TCP,293,49683,8888,,,,
6,1720617392.976803000,192.168.56.101,192.168.56.102,TCP,60,8888,49683,,,,
7,1720617392.977348000,192.168.56.101,192.168.56.102,TCP,928,8888,49683,,,,
8,1720617392.995390000,192.168.56.102,192.168.56.101,TCP,819,49683,8888,,,,
9,1720617392.999837000,192.168.56.102,192.168.56.101,TCP,80,49683,8888,,,,
10,1720617392.999872000,192.168.56.102,192.168.56.101,TCP,457,49683,8888,,,,
11,1720617393.001336000,192.168.56.101,192.168.56.102,TCP,60,8888,49683,,,,
12,1720617398.225781000,0,0,,60,0,0,,,,
13,1720617398.225802000,0,0,,42,0,0,,,,
14,1720617408.012559000,192.168.56.102,192.168.56.101,TCP,55,49683,8888,,,,
15,1720617408.012817000,192.168.56.101,192.168.56.102,TCP,66,8888,49683,,,,
16,1720617415.050439000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,
17,1720617415.050835000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,
18,1720617415.052232000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,
19,1720617415.052774000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,
20,1720617416.047002000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,
21,1720617416.047146000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,
22,1720617416.047328000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,
23,1720617416.047415000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,
24,1720617423.028124000,192.168.56.102,192.168.56.101,TCP,55,49683,8888,,,,
25,1720617423.028373000,192.168.56.101,192.168.56.102,TCP,66,8888,49683,,,,
