"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2.17.197.249","10.0.3.15","HTTP","1502","Continuation"
"2","0.025959","2.17.197.240","10.0.3.15","TCP","1502","80  >  50086 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=1448"
"3","0.054327","10.0.3.15","2.17.197.249","TCP","54","50068  >  80 [ACK] Seq=1 Ack=1449 Win=62792 Len=0"
"4","0.070042","10.0.3.15","2.17.197.240","TCP","54","50086  >  80 [ACK] Seq=1 Ack=1449 Win=62792 Len=0"
"5","0.083137","2.17.197.249","10.0.3.15","HTTP","1502","Continuation"
"6","0.136836","10.0.3.15","2.17.197.249","TCP","54","50068  >  80 [ACK] Seq=1 Ack=2897 Win=64240 Len=0"
"7","0.174057","10.0.3.2","10.0.3.15","ICMP","70","Destination unreachable (Host unreachable)"
"8","0.174057","10.0.3.2","10.0.3.15","ICMP","70","Destination unreachable (Host unreachable)"
"9","0.191370","2.17.197.240","10.0.3.15","TCP","1502","80  >  50086 [PSH, ACK] Seq=1449 Ack=1 Win=65535 Len=1448"
"10","0.204122","2.17.197.249","10.0.3.15","HTTP","1502","Continuation"
"11","0.217176","104.90.25.41","10.0.3.15","TCP","1502","443  >  49717 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"12","0.246932","10.0.3.15","2.17.197.240","TCP","54","50086  >  80 [ACK] Seq=1 Ack=2897 Win=64240 Len=0"
"13","0.246954","10.0.3.15","2.17.197.249","TCP","54","50068  >  80 [ACK] Seq=1 Ack=4345 Win=62792 Len=0"
"14","0.262201","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=1449 Win=64240 Len=0"
"15","0.299093","2.17.197.249","10.0.3.15","HTTP","1502","Continuation"
"16","0.312122","2.17.197.240","10.0.3.15","TCP","1502","80  >  50086 [PSH, ACK] Seq=2897 Ack=1 Win=65535 Len=1448"
"17","0.338323","2.17.197.249","10.0.3.15","HTTP","1502","Continuation"
"18","0.338465","10.0.3.15","2.17.197.249","TCP","54","50068  >  80 [ACK] Seq=1 Ack=7241 Win=64240 Len=0"
"19","0.355609","10.0.3.15","2.17.197.240","TCP","54","50086  >  80 [ACK] Seq=1 Ack=4345 Win=62792 Len=0"
"20","0.410152","2.17.197.240","10.0.3.15","TCP","1502","80  >  50086 [PSH, ACK] Seq=4345 Ack=1 Win=65535 Len=1448"
"21","0.422983","2.17.197.249","10.0.3.15","HTTP","1502","Continuation"
"22","0.465057","10.0.3.15","2.17.197.249","TCP","54","50068  >  80 [ACK] Seq=1 Ack=8689 Win=62792 Len=0"
"23","0.465065","10.0.3.15","2.17.197.240","TCP","54","50086  >  80 [ACK] Seq=1 Ack=5793 Win=64240 Len=0"
"24","0.492111","104.90.25.41","10.0.3.15","TCP","1502","443  >  49717 [PSH, ACK] Seq=1449 Ack=1 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"25","0.504865","2.17.197.249","10.0.3.15","HTTP","1502","Continuation"
"26","0.518061","2.17.197.240","10.0.3.15","TCP","1502","80  >  50086 [PSH, ACK] Seq=5793 Ack=1 Win=65535 Len=1448"
"27","0.545725","10.0.3.15","2.17.197.249","TCP","54","50068  >  80 [ACK] Seq=1 Ack=10137 Win=64240 Len=0"
"28","0.545725","10.0.3.15","104.90.25.41","TCP","54","49717  >  443 [ACK] Seq=1 Ack=2897 Win=62792 Len=0"
"29","0.559783","2.17.197.240","10.0.3.15","TCP","1502","80  >  50085 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"30","0.561576","10.0.3.15","2.17.197.240","TCP","54","50086  >  80 [ACK] Seq=1 Ack=7241 Win=62792 Len=0"
"31","0.602065","2.17.197.249","10.0.3.15","HTTP","1502","Continuation"
"32","0.610504","10.0.3.15","2.17.197.240","TCP","54","50085  >  80 [ACK] Seq=1 Ack=1449 Win=63712 Len=0"
"33","0.634557","2.17.197.240","10.0.3.15","TCP","1502","80  >  50086 [PSH, ACK] Seq=7241 Ack=1 Win=65535 Len=1448"
"34","0.657919","10.0.3.15","2.17.197.249","TCP","54","50068  >  80 [ACK] Seq=1 Ack=11585 Win=62792 Len=0"
"35","0.658099","10.0.3.15","23.41.178.65","QUIC","1292","Initial, DCID=e43a770be01c9174, PKN: 4, CRYPTO"
"36","0.674082","10.0.3.15","204.79.197.203","TCP","66","50087  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"37","0.674293","10.0.3.15","23.41.178.106","QUIC","1292","Initial, DCID=9bd0f2e7eef339e9, PKN: 4, CRYPTO"
"38","0.674304","10.0.3.15","18.239.208.18","TCP","66","50088  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
