,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1721137778.319608000,192.168.56.102,192.168.56.101,TCP,66,49754,8888,,,,,
1,1721137778.319835000,192.168.56.101,192.168.56.102,TCP,66,8888,49754,,,,,
2,1721137778.319887000,192.168.56.102,192.168.56.101,TCP,54,49754,8888,,,,,
3,1721137778.320273000,192.168.56.102,192.168.56.101,TCP,293,49754,8888,,,,,
4,1721137778.320408000,192.168.56.101,192.168.56.102,TCP,60,8888,49754,,,,,
5,1721137778.321009000,192.168.56.101,192.168.56.102,TCP,928,8888,49754,,,,,
6,1721137778.362614000,192.168.56.102,192.168.56.101,TCP,739,49754,8888,,,,,
7,1721137778.369923000,192.168.56.102,192.168.56.101,TCP,80,49754,8888,,,,,
8,1721137778.369967000,192.168.56.102,192.168.56.101,TCP,500,49754,8888,,,,,
9,1721137778.370239000,192.168.56.101,192.168.56.102,TCP,60,8888,49754,,,,,
10,1721137779.145066000,192.168.56.102,239.255.255.250,UDP,217,53551,1900,,,,,
11,1721137779.379691000,192.168.56.102,192.168.56.101,TCP,78,49754,8888,,,,,
12,1721137779.379856000,192.168.56.102,192.168.56.101,TCP,54,49754,8888,,,,,
13,1721137779.380331000,192.168.56.101,192.168.56.102,TCP,78,8888,49754,,,,,
14,1721137779.380331000,192.168.56.101,192.168.56.102,TCP,60,8888,49754,,,,,
15,1721137779.380376000,192.168.56.102,192.168.56.101,TCP,54,49754,8888,,,,,
16,1721137779.381389000,192.168.56.102,192.168.56.101,TCP,66,49755,8888,,,,,
17,1721137779.381640000,192.168.56.101,192.168.56.102,TCP,66,8888,49755,,,,,
18,1721137779.381682000,192.168.56.102,192.168.56.101,TCP,54,49755,8888,,,,,
19,1721137779.381961000,192.168.56.102,192.168.56.101,TCP,293,49755,8888,,,,,
20,1721137779.382140000,192.168.56.101,192.168.56.102,TCP,60,8888,49755,,,,,
21,1721137779.383004000,192.168.56.101,192.168.56.102,TCP,928,8888,49755,,,,,
22,1721137779.396914000,192.168.56.102,192.168.56.101,TCP,739,49755,8888,,,,,
23,1721137779.397248000,192.168.56.102,192.168.56.101,TCP,80,49755,8888,,,,,
24,1721137779.397271000,192.168.56.102,192.168.56.101,TCP,120,49755,8888,,,,,
25,1721137779.399931000,192.168.56.101,192.168.56.102,TCP,60,8888,49755,,,,,
26,1721137779.404461000,192.168.56.101,192.168.56.102,TCP,80,8888,49755,,,,,
27,1721137779.404533000,192.168.56.101,192.168.56.102,TCP,78,8888,49755,,,,,
28,1721137779.404543000,192.168.56.102,192.168.56.101,TCP,54,49755,8888,,,,,
29,1721137780.149612000,192.168.56.102,239.255.255.250,UDP,217,53551,1900,,,,,
30,1721137780.420381000,192.168.56.102,192.168.56.101,TCP,78,49755,8888,,,,,
31,1721137780.420472000,192.168.56.102,192.168.56.101,TCP,54,49755,8888,,,,,
32,1721137780.420886000,192.168.56.101,192.168.56.102,TCP,78,8888,49755,,,,,
33,1721137780.420886000,192.168.56.101,192.168.56.102,TCP,60,8888,49755,,,,,
34,1721137780.420926000,192.168.56.102,192.168.56.101,TCP,54,49755,8888,,,,,
35,1721137781.157235000,192.168.56.102,239.255.255.250,UDP,217,53551,1900,,,,,
36,1721137782.160056000,192.168.56.102,239.255.255.250,UDP,217,53551,1900,,,,,
37,1721137793.284265000,192.168.56.102,192.168.56.101,TCP,55,49753,80,,,,,
38,1721137793.284521000,192.168.56.101,192.168.56.102,TCP,60,80,49753,,,,,
39,1721137821.379173000,192.168.56.102,192.168.56.100,UDP,356,68,67,,,,,
40,1721137821.380798000,192.168.56.100,192.168.56.102,UDP,590,67,68,,,,,
41,1721137821.383929000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
42,1721137821.383957000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
43,1721137821.389132000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
44,1721137821.389352000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
45,1721137821.389621000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
46,1721137821.389650000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
47,1721137821.389818000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
48,1721137821.389927000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
49,1721137821.390457000,192.168.56.102,224.0.0.251,UDP,80,5353,5353,,,,,
50,1721137821.390916000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,100,5353,5353,,,,,
51,1721137821.391226000,fe80::9c4f:4e27:e09a:8d13,ff02::1:3,UDP,94,56222,5355,,,,,
52,1721137821.391233000,192.168.56.102,224.0.0.251,UDP,118,5353,5353,,,,,
53,1721137821.391344000,192.168.56.102,224.0.0.252,UDP,74,56222,5355,,,,,
54,1721137821.391396000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,138,5353,5353,,,,,
55,1721137821.472579000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
56,1721137821.472623000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
57,1721137825.983562000,0,0,,42,0,0,,,,,
58,1721137825.983767000,0,0,,60,0,0,,,,,
59,1721137860.063568000,192.168.56.102,192.168.56.101,TCP,66,49756,8888,,,,,
60,1721137860.063808000,192.168.56.101,192.168.56.102,TCP,66,8888,49756,,,,,
61,1721137860.063864000,192.168.56.102,192.168.56.101,TCP,54,49756,8888,,,,,
62,1721137860.064249000,192.168.56.102,192.168.56.101,TCP,293,49756,8888,,,,,
63,1721137860.064467000,192.168.56.101,192.168.56.102,TCP,60,8888,49756,,,,,
64,1721137860.065220000,192.168.56.101,192.168.56.102,TCP,928,8888,49756,,,,,
65,1721137860.078717000,192.168.56.102,192.168.56.101,TCP,740,49756,8888,,,,,
66,1721137860.078757000,192.168.56.102,192.168.56.101,TCP,80,49756,8888,,,,,
67,1721137860.078771000,192.168.56.102,192.168.56.101,TCP,120,49756,8888,,,,,
68,1721137860.081303000,192.168.56.101,192.168.56.102,TCP,60,8888,49756,,,,,
69,1721137860.098160000,192.168.56.101,192.168.56.102,TCP,80,8888,49756,,,,,
70,1721137860.098160000,192.168.56.101,192.168.56.102,TCP,119,8888,49756,,,,,
71,1721137860.098219000,192.168.56.102,192.168.56.101,TCP,54,49756,8888,,,,,
72,1721137860.099510000,192.168.56.102,192.168.56.101,TCP,80,49756,8888,,,,,
73,1721137860.099526000,192.168.56.102,192.168.56.101,TCP,303,49756,8888,,,,,
74,1721137860.099663000,192.168.56.101,192.168.56.102,TCP,60,8888,49756,,,,,
