,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722787999.181979000,10.0.3.15,108.177.15.94,TCP,55,49776,443,,,,
1,1722787999.182196000,108.177.15.94,10.0.3.15,TCP,60,443,49776,,,,
2,1722787999.194303000,10.0.3.15,142.251.173.132,TCP,55,49836,443,,,,
3,1722787999.194566000,142.251.173.132,10.0.3.15,TCP,60,443,49836,,,,
4,1722787999.244107000,10.0.3.15,74.125.71.94,TCP,55,49798,443,,,,
5,1722787999.244407000,74.125.71.94,10.0.3.15,TCP,60,443,49798,,,,
6,1722787999.446159000,10.0.3.15,74.125.133.139,TCP,55,49842,443,,,,
7,1722787999.446362000,74.125.133.139,10.0.3.15,TCP,60,443,49842,,,,
8,1722787999.539317000,10.0.3.15,74.125.133.94,TCP,55,49775,443,,,,
9,1722787999.539569000,74.125.133.94,10.0.3.15,TCP,60,443,49775,,,,
10,1722788000.019281000,10.0.3.15,104.68.83.150,TCP,55,49844,443,,,,
11,1722788000.019577000,104.68.83.150,10.0.3.15,TCP,60,443,49844,,,,
12,1722788000.257093000,10.0.3.15,192.229.221.95,TCP,54,49678,80,,,,
13,1722788000.257318000,10.0.3.15,142.251.168.102,TCP,55,49782,443,,,,
14,1722788000.257595000,142.251.168.102,10.0.3.15,TCP,60,443,49782,,,,
15,1722788000.387621000,10.0.3.15,108.177.15.91,TCP,55,49801,443,,,,
16,1722788000.387833000,108.177.15.91,10.0.3.15,TCP,60,443,49801,,,,
17,1722788000.420356000,10.0.3.15,104.90.25.175,TCP,55,49846,443,,,,
18,1722788000.420556000,104.90.25.175,10.0.3.15,TCP,60,443,49846,,,,
19,1722788000.421836000,10.0.3.15,2.17.107.75,TCP,55,49847,443,,,,
20,1722788000.421920000,2.17.107.75,10.0.3.15,TCP,60,443,49847,,,,
21,1722788000.529431000,10.0.3.15,152.199.21.175,TCP,55,49854,443,,,,
22,1722788000.529713000,152.199.21.175,10.0.3.15,TCP,60,443,49854,,,,
23,1722788000.705103000,10.0.3.15,13.107.246.67,TCP,55,49857,443,,,,
24,1722788000.705127000,10.0.3.15,104.90.25.175,TCP,55,49848,443,,,,
25,1722788000.705309000,13.107.246.67,10.0.3.15,TCP,60,443,49857,,,,
26,1722788000.705309000,104.90.25.175,10.0.3.15,TCP,60,443,49848,,,,
27,1722788000.800176000,10.0.3.15,23.219.236.237,TCP,55,49859,443,,,,
28,1722788000.800466000,23.219.236.237,10.0.3.15,TCP,60,443,49859,,,,
29,1722788000.819648000,10.0.3.15,74.125.133.94,TCP,55,49805,443,,,,
30,1722788000.819756000,10.0.3.15,13.107.246.67,TCP,55,49852,443,,,,
31,1722788000.819871000,74.125.133.94,10.0.3.15,TCP,60,443,49805,,,,
32,1722788000.819871000,13.107.246.67,10.0.3.15,TCP,60,443,49852,,,,
33,1722788001.089304000,10.0.3.15,2.17.107.80,TCP,55,49819,443,,,,
34,1722788001.089583000,2.17.107.80,10.0.3.15,TCP,60,443,49819,,,,
35,1722788001.121086000,10.0.3.15,2.17.197.192,TCP,54,49694,443,,,,
36,1722788001.121211000,10.0.3.15,204.79.197.203,TCP,54,49681,443,,,,
37,1722788001.121304000,10.0.3.15,204.79.197.203,TCP,54,49685,443,,,,
38,1722788001.154665000,10.0.3.15,152.199.21.175,TCP,55,49865,443,,,,
39,1722788001.154802000,152.199.21.175,10.0.3.15,TCP,60,443,49865,,,,
40,1722788001.187372000,10.0.3.15,66.102.1.156,TCP,55,49840,443,,,,
41,1722788001.187628000,66.102.1.156,10.0.3.15,TCP,60,443,49840,,,,
42,1722788001.328208000,10.0.3.15,74.125.71.93,TCP,55,49802,443,,,,
43,1722788001.328434000,74.125.71.93,10.0.3.15,TCP,60,443,49802,,,,
44,1722788001.568890000,10.0.3.15,192.229.221.95,TCP,54,49683,80,,,,
45,1722788001.696175000,10.0.3.15,20.190.177.149,TCP,55,49864,443,,,,
46,1722788001.696405000,20.190.177.149,10.0.3.15,TCP,60,443,49864,,,,
47,1722788001.706940000,10.0.3.15,13.107.246.67,TCP,55,49855,443,,,,
