,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1722787999.181979000,10.0.3.15,108.177.15.94,HTTPS,55,49776,443,,,,,
1,1722787999.182196000,108.177.15.94,10.0.3.15,HTTPS,60,443,49776,,,,,
2,1722787999.194303000,10.0.3.15,142.251.173.132,HTTPS,55,49836,443,,,,,
3,1722787999.194566000,142.251.173.132,10.0.3.15,HTTPS,60,443,49836,,,,,
4,1722787999.244107000,10.0.3.15,74.125.71.94,HTTPS,55,49798,443,,,,,
5,1722787999.244407000,74.125.71.94,10.0.3.15,HTTPS,60,443,49798,,,,,
6,1722787999.446159000,10.0.3.15,74.125.133.139,HTTPS,55,49842,443,,,,,
7,1722787999.446362000,74.125.133.139,10.0.3.15,HTTPS,60,443,49842,,,,,
8,1722787999.539317000,10.0.3.15,74.125.133.94,HTTPS,55,49775,443,,,,,
9,1722787999.539569000,74.125.133.94,10.0.3.15,HTTPS,60,443,49775,,,,,
10,1722788000.019281000,10.0.3.15,104.68.83.150,HTTPS,55,49844,443,,,,,
11,1722788000.019577000,104.68.83.150,10.0.3.15,HTTPS,60,443,49844,,,,,
12,1722788000.257093000,10.0.3.15,192.229.221.95,TCP,54,49678,80,,,,,
13,1722788000.257318000,10.0.3.15,142.251.168.102,HTTPS,55,49782,443,,,,,
14,1722788000.257595000,142.251.168.102,10.0.3.15,HTTPS,60,443,49782,,,,,
15,1722788000.387621000,10.0.3.15,108.177.15.91,HTTPS,55,49801,443,,,,,
16,1722788000.387833000,108.177.15.91,10.0.3.15,HTTPS,60,443,49801,,,,,
17,1722788000.420356000,10.0.3.15,104.90.25.175,HTTPS,55,49846,443,,,,,
18,1722788000.420556000,104.90.25.175,10.0.3.15,HTTPS,60,443,49846,,,,,
19,1722788000.421836000,10.0.3.15,2.17.107.75,HTTPS,55,49847,443,,,,,
20,1722788000.421920000,2.17.107.75,10.0.3.15,HTTPS,60,443,49847,,,,,
21,1722788000.529431000,10.0.3.15,152.199.21.175,HTTPS,55,49854,443,,,,,
22,1722788000.529713000,152.199.21.175,10.0.3.15,HTTPS,60,443,49854,,,,,
23,1722788000.705103000,10.0.3.15,13.107.246.67,HTTPS,55,49857,443,,,,,
24,1722788000.705127000,10.0.3.15,104.90.25.175,HTTPS,55,49848,443,,,,,
25,1722788000.705309000,13.107.246.67,10.0.3.15,HTTPS,60,443,49857,,,,,
26,1722788000.705309000,104.90.25.175,10.0.3.15,HTTPS,60,443,49848,,,,,
27,1722788000.800176000,10.0.3.15,23.219.236.237,HTTPS,55,49859,443,,,,,
28,1722788000.800466000,23.219.236.237,10.0.3.15,HTTPS,60,443,49859,,,,,
29,1722788000.819648000,10.0.3.15,74.125.133.94,HTTPS,55,49805,443,,,,,
30,1722788000.819756000,10.0.3.15,13.107.246.67,HTTPS,55,49852,443,,,,,
31,1722788000.819871000,74.125.133.94,10.0.3.15,HTTPS,60,443,49805,,,,,
32,1722788000.819871000,13.107.246.67,10.0.3.15,HTTPS,60,443,49852,,,,,
33,1722788001.089304000,10.0.3.15,2.17.107.80,HTTPS,55,49819,443,,,,,
34,1722788001.089583000,2.17.107.80,10.0.3.15,HTTPS,60,443,49819,,,,,
35,1722788001.121086000,10.0.3.15,2.17.197.192,HTTPS,54,49694,443,,,,,
36,1722788001.121211000,10.0.3.15,204.79.197.203,HTTPS,54,49681,443,,,,,
37,1722788001.121304000,10.0.3.15,204.79.197.203,HTTPS,54,49685,443,,,,,
38,1722788001.154665000,10.0.3.15,152.199.21.175,HTTPS,55,49865,443,,,,,
39,1722788001.154802000,152.199.21.175,10.0.3.15,HTTPS,60,443,49865,,,,,
40,1722788001.187372000,10.0.3.15,66.102.1.156,HTTPS,55,49840,443,,,,,
41,1722788001.187628000,66.102.1.156,10.0.3.15,HTTPS,60,443,49840,,,,,
42,1722788001.328208000,10.0.3.15,74.125.71.93,HTTPS,55,49802,443,,,,,
43,1722788001.328434000,74.125.71.93,10.0.3.15,HTTPS,60,443,49802,,,,,
44,1722788001.568890000,10.0.3.15,192.229.221.95,TCP,54,49683,80,,,,,
45,1722788001.696175000,10.0.3.15,20.190.177.149,HTTPS,55,49864,443,,,,,
46,1722788001.696405000,20.190.177.149,10.0.3.15,HTTPS,60,443,49864,,,,,
47,1722788001.706940000,10.0.3.15,13.107.246.67,HTTPS,55,49855,443,,,,,
48,1722788001.706957000,10.0.3.15,66.102.1.149,HTTPS,55,49808,443,,,,,
49,1722788001.707053000,13.107.246.67,10.0.3.15,HTTPS,60,443,49855,,,,,
50,1722788001.707053000,66.102.1.149,10.0.3.15,HTTPS,60,443,49808,,,,,
51,1722788001.744288000,10.0.3.15,108.177.15.94,HTTPS,55,49807,443,,,,,
52,1722788001.744567000,108.177.15.94,10.0.3.15,HTTPS,60,443,49807,,,,,
53,1722788001.808068000,10.0.3.15,20.50.201.204,HTTPS,55,49856,443,,,,,
54,1722788001.808324000,20.50.201.204,10.0.3.15,HTTPS,60,443,49856,,,,,
55,1722788001.824537000,10.0.3.15,142.250.110.95,HTTPS,55,49809,443,,,,,
56,1722788001.824896000,142.250.110.95,10.0.3.15,HTTPS,60,443,49809,,,,,
57,1722788001.840027000,10.0.3.15,192.229.221.95,TCP,54,49687,80,,,,,
58,1722788001.875537000,10.0.3.15,64.233.166.190,UDP,1189,65237,443,,,,,
59,1722788001.893593000,64.233.166.190,10.0.3.15,UDP,75,443,65237,,,,,
60,1722788001.893700000,64.233.166.190,10.0.3.15,UDP,118,443,65237,,,,,
61,1722788001.893700000,64.233.166.190,10.0.3.15,UDP,69,443,65237,,,,,
62,1722788001.893900000,10.0.3.15,64.233.166.190,UDP,81,65237,443,,,,,
63,1722788001.903207000,10.0.3.15,64.233.166.190,UDP,75,65237,443,,,,,
64,1722788001.912452000,64.233.166.190,10.0.3.15,UDP,68,443,65237,,,,,
65,1722788001.939890000,10.0.3.15,40.126.53.17,HTTPS,55,49866,443,,,,,
66,1722788001.940100000,40.126.53.17,10.0.3.15,HTTPS,60,443,49866,,,,,
67,1722788002.022968000,10.0.3.15,142.251.168.113,HTTPS,55,49810,443,,,,,
68,1722788002.023306000,142.251.168.113,10.0.3.15,HTTPS,60,443,49810,,,,,
69,1722788002.045599000,10.0.3.15,13.107.246.67,HTTPS,55,49868,443,,,,,
70,1722788002.045811000,13.107.246.67,10.0.3.15,HTTPS,60,443,49868,,,,,
71,1722788002.080359000,10.0.3.15,152.199.21.175,HTTPS,55,49870,443,,,,,
72,1722788002.080589000,152.199.21.175,10.0.3.15,HTTPS,60,443,49870,,,,,
73,1722788002.144156000,10.0.3.15,23.55.96.117,HTTPS,55,49845,443,,,,,
74,1722788002.144361000,23.55.96.117,10.0.3.15,HTTPS,60,443,49845,,,,,
75,1722788002.160317000,10.0.3.15,20.93.72.182,HTTPS,55,49803,443,,,,,
76,1722788002.160514000,20.93.72.182,10.0.3.15,HTTPS,60,443,49803,,,,,
77,1722788002.206057000,10.0.3.15,13.107.246.67,HTTPS,55,49871,443,,,,,
78,1722788002.206305000,13.107.246.67,10.0.3.15,HTTPS,60,443,49871,,,,,
79,1722788002.407778000,10.0.3.15,20.103.156.88,HTTPS,55,49872,443,,,,,
80,1722788002.408087000,20.103.156.88,10.0.3.15,HTTPS,60,443,49872,,,,,
81,1722788003.434615000,2.17.107.105,10.0.3.15,UDP,108,443,52411,,,,,
82,1722788003.562339000,10.0.3.15,74.125.206.119,UDP,1292,57342,443,,,,,
83,1722788003.562403000,10.0.3.15,74.125.206.119,UDP,1292,57342,443,,,,,
84,1722788003.562567000,10.0.3.15,74.125.206.119,UDP,118,57342,443,,,,,
85,1722788003.563223000,10.0.3.15,74.125.206.119,UDP,863,57342,443,,,,,
86,1722788003.581964000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
87,1722788003.583403000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
88,1722788003.583403000,74.125.206.119,10.0.3.15,UDP,351,443,57342,,,,,
89,1722788003.583497000,74.125.206.119,10.0.3.15,UDP,978,443,57342,,,,,
90,1722788003.584245000,10.0.3.15,74.125.206.119,UDP,120,57342,443,,,,,
91,1722788003.584348000,10.0.3.15,74.125.206.119,UDP,73,57342,443,,,,,
92,1722788003.589172000,74.125.206.119,10.0.3.15,UDP,70,443,57342,,,,,
93,1722788003.591615000,74.125.206.119,10.0.3.15,UDP,1288,443,57342,,,,,
94,1722788003.591775000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
95,1722788003.591775000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
96,1722788003.592011000,10.0.3.15,74.125.206.119,UDP,77,57342,443,,,,,
97,1722788003.592099000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
98,1722788003.592101000,10.0.3.15,74.125.206.119,UDP,73,57342,443,,,,,
99,1722788003.592436000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
100,1722788003.592499000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
101,1722788003.592597000,10.0.3.15,74.125.206.119,UDP,73,57342,443,,,,,
102,1722788003.592781000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
103,1722788003.592781000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
104,1722788003.592864000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
105,1722788003.592963000,74.125.206.119,10.0.3.15,UDP,1292,443,57342,,,,,
106,1722788003.592963000,74.125.206.119,10.0.3.15,UDP,331,443,57342,,,,,
107,1722788003.593307000,10.0.3.15,74.125.206.119,UDP,73,57342,443,,,,,
108,1722788003.593399000,10.0.3.15,74.125.206.119,UDP,73,57342,443,,,,,
109,1722788003.593457000,10.0.3.15,74.125.206.119,UDP,73,57342,443,,,,,
110,1722788003.599715000,74.125.206.119,10.0.3.15,UDP,162,443,57342,,,,,
111,1722788003.609725000,74.125.206.119,10.0.3.15,UDP,67,443,57342,,,,,
112,1722788003.639604000,10.0.3.15,74.125.206.119,UDP,74,57342,443,,,,,
113,1722788004.125947000,10.0.3.15,10.0.3.3,UDP,96,57578,53,,,,,
114,1722788004.126243000,10.0.3.15,10.0.3.3,UDP,96,50554,53,,,,,
115,1722788004.126562000,10.0.3.15,51.104.15.252,HTTPS,132,49786,443,,,,,
116,1722788004.126612000,10.0.3.15,51.104.15.252,HTTPS,93,49786,443,,,,,
117,1722788004.126638000,10.0.3.15,51.104.15.252,HTTPS,856,49786,443,,,,,
118,1722788004.126716000,51.104.15.252,10.0.3.15,HTTPS,60,443,49786,,,,,
119,1722788004.126716000,51.104.15.252,10.0.3.15,HTTPS,60,443,49786,,,,,
120,1722788004.126716000,51.104.15.252,10.0.3.15,HTTPS,60,443,49786,,,,,
121,1722788004.145434000,10.0.3.3,10.0.3.15,UDP,223,53,57578,,,,,
122,1722788004.152484000,51.104.15.252,10.0.3.15,HTTPS,93,443,49786,,,,,
123,1722788004.167354000,10.0.3.3,10.0.3.15,UDP,271,53,50554,,,,,
124,1722788004.205213000,10.0.3.15,51.104.15.252,HTTPS,54,49786,443,,,,,
125,1722788004.222197000,51.104.15.252,10.0.3.15,HTTPS,153,443,49786,,,,,
126,1722788004.223610000,10.0.3.15,51.104.15.252,HTTPS,89,49786,443,,,,,
127,1722788004.224199000,51.104.15.252,10.0.3.15,HTTPS,60,443,49786,,,,,
128,1722788005.196396000,10.0.3.15,212.68.207.145,UDP,1287,58898,443,,,,,
129,1722788005.196539000,10.0.3.15,212.68.207.145,UDP,1292,58898,443,,,,,
130,1722788005.196571000,10.0.3.15,212.68.207.145,UDP,366,58898,443,,,,,
131,1722788005.213291000,212.68.207.145,10.0.3.15,UDP,72,443,58898,,,,,
132,1722788005.218689000,212.68.207.145,10.0.3.15,UDP,161,443,58898,,,,,
133,1722788005.218992000,10.0.3.15,212.68.207.145,UDP,78,58898,443,,,,,
134,1722788005.220961000,212.68.207.145,10.0.3.15,UDP,1287,443,58898,,,,,
135,1722788005.221033000,212.68.207.145,10.0.3.15,UDP,1292,443,58898,,,,,
