,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1720617524.268217000,192.168.56.102,192.168.56.101,TCP,66,49684,8888,,,,,
1,1720617524.268440000,192.168.56.101,192.168.56.102,TCP,66,8888,49684,,,,,
2,1720617524.268515000,192.168.56.102,192.168.56.101,TCP,54,49684,8888,,,,,
3,1720617524.268715000,192.168.56.102,192.168.56.101,TCP,293,49684,8888,,,,,
4,1720617524.268849000,192.168.56.101,192.168.56.102,TCP,60,8888,49684,,,,,
5,1720617524.270094000,192.168.56.101,192.168.56.102,TCP,928,8888,49684,,,,,
6,1720617524.288366000,192.168.56.102,192.168.56.101,TCP,818,49684,8888,,,,,
7,1720617524.294344000,192.168.56.102,192.168.56.101,TCP,80,49684,8888,,,,,
8,1720617524.294388000,192.168.56.102,192.168.56.101,TCP,457,49684,8888,,,,,
9,1720617524.294601000,192.168.56.101,192.168.56.102,TCP,60,8888,49684,,,,,
10,1720617529.387452000,0,0,,60,0,0,,,,,
11,1720617529.387467000,0,0,,42,0,0,,,,,
12,1720617539.296180000,192.168.56.102,192.168.56.101,TCP,55,49684,8888,,,,,
13,1720617539.296491000,192.168.56.101,192.168.56.102,TCP,66,8888,49684,,,,,
14,1720617554.304489000,192.168.56.102,192.168.56.101,TCP,55,49684,8888,,,,,
15,1720617554.304842000,192.168.56.101,192.168.56.102,TCP,66,8888,49684,,,,,
16,1720617556.101843000,192.168.56.102,192.168.56.100,UDP,356,68,67,,,,,
17,1720617556.125321000,192.168.56.100,192.168.56.102,UDP,590,67,68,,,,,
18,1720617556.129614000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
19,1720617556.129648000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
20,1720617556.134957000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
21,1720617556.135076000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
22,1720617556.135339000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
23,1720617556.135363000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
24,1720617556.135508000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
25,1720617556.135597000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
26,1720617556.136137000,192.168.56.102,224.0.0.251,UDP,80,5353,5353,,,,,
27,1720617556.136277000,192.168.56.102,224.0.0.251,UDP,118,5353,5353,,,,,
28,1720617556.136588000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,100,5353,5353,,,,,
29,1720617556.136742000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,138,5353,5353,,,,,
30,1720617556.136810000,fe80::9c4f:4e27:e09a:8d13,ff02::1:3,UDP,94,63439,5355,,,,,
31,1720617556.136928000,192.168.56.102,224.0.0.252,UDP,74,63439,5355,,,,,
32,1720617556.463086000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
33,1720617556.463122000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
34,1720617560.958411000,0,0,,42,0,0,,,,,
35,1720617560.958608000,0,0,,60,0,0,,,,,
36,1720617569.303537000,192.168.56.101,192.168.56.102,TCP,60,8888,49684,,,,,
37,1720617569.303577000,192.168.56.102,192.168.56.101,TCP,54,49684,8888,,,,,
38,1720617569.311820000,192.168.56.102,192.168.56.101,TCP,55,49684,8888,,,,,
39,1720617569.312015000,192.168.56.101,192.168.56.102,TCP,66,8888,49684,,,,,
40,1720617574.420967000,0,0,,60,0,0,,,,,
41,1720617574.420983000,0,0,,42,0,0,,,,,
42,1720617584.322211000,192.168.56.102,192.168.56.101,TCP,55,49684,8888,,,,,
43,1720617584.322561000,192.168.56.101,192.168.56.102,TCP,66,8888,49684,,,,,
44,1720617595.259114000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,
45,1720617595.259232000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,
46,1720617595.260325000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,
47,1720617595.260435000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,
48,1720617596.258351000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,
49,1720617596.258498000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,
50,1720617596.258647000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,
51,1720617596.258720000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,
52,1720617599.331135000,192.168.56.102,192.168.56.101,TCP,55,49684,8888,,,,,
53,1720617599.331409000,192.168.56.101,192.168.56.102,TCP,66,8888,49684,,,,,
54,1720617614.337062000,192.168.56.101,192.168.56.102,TCP,60,8888,49684,,,,,
55,1720617614.337096000,192.168.56.102,192.168.56.101,TCP,54,49684,8888,,,,,
56,1720617614.345255000,192.168.56.102,192.168.56.101,TCP,55,49684,8888,,,,,
57,1720617614.345510000,192.168.56.101,192.168.56.102,TCP,66,8888,49684,,,,,
58,1720617619.455554000,0,0,,60,0,0,,,,,
59,1720617619.455569000,0,0,,42,0,0,,,,,
60,1720617627.041664000,192.168.56.102,239.255.255.250,UDP,217,63440,1900,,,,,
61,1720617628.055574000,192.168.56.102,239.255.255.250,UDP,217,63440,1900,,,,,
62,1720617629.069564000,192.168.56.102,239.255.255.250,UDP,217,63440,1900,,,,,
63,1720617629.355833000,192.168.56.102,192.168.56.101,TCP,55,49684,8888,,,,,
64,1720617629.356120000,192.168.56.101,192.168.56.102,TCP,66,8888,49684,,,,,
65,1720617630.071924000,192.168.56.102,239.255.255.250,UDP,217,63440,1900,,,,,
66,1720617637.027699000,192.168.56.101,192.168.56.102,TCP,80,8888,49684,,,,,
67,1720617637.027699000,192.168.56.101,192.168.56.102,TCP,132,8888,49684,,,,,
68,1720617637.027768000,192.168.56.102,192.168.56.101,TCP,54,49684,8888,,,,,
69,1720617637.028011000,192.168.56.102,192.168.56.101,TCP,78,49684,8888,,,,,
70,1720617637.028129000,192.168.56.102,192.168.56.101,TCP,54,49684,8888,,,,,
71,1720617637.028188000,192.168.56.101,192.168.56.102,TCP,60,8888,49684,,,,,
72,1720617637.028475000,192.168.56.101,192.168.56.102,TCP,78,8888,49684,,,,,
73,1720617637.028502000,192.168.56.102,192.168.56.101,TCP,54,49684,8888,,,,,
74,1720617637.028602000,192.168.56.101,192.168.56.102,TCP,60,8888,49684,,,,,
