"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.3.15","152.199.19.161","TCP","54","49965  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"2","0.000274","152.199.19.161","10.0.3.15","TCP","60","80  >  49965 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"3","1.718994","10.0.3.15","13.69.116.108","TLSv1.2","138","Application Data"
"4","1.719052","10.0.3.15","13.69.116.108","TLSv1.2","856","Application Data"
"5","1.719347","13.69.116.108","10.0.3.15","TCP","60","443  >  49979 [ACK] Seq=1 Ack=85 Win=65535 Len=0"
"6","1.719347","13.69.116.108","10.0.3.15","TCP","60","443  >  49979 [ACK] Seq=1 Ack=887 Win=65535 Len=0"
"7","1.814160","10.0.3.15","20.3.187.198","TCP","54","49937  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"8","1.820650","13.69.116.108","10.0.3.15","TLSv1.2","153","Application Data"
"9","1.821437","10.0.3.15","13.69.116.108","TLSv1.2","89","Application Data"
"10","1.821667","13.69.116.108","10.0.3.15","TCP","60","443  >  49979 [ACK] Seq=100 Ack=922 Win=65535 Len=0"
"11","2.023199","10.0.3.15","13.74.129.1","TCP","55","49880  >  443 [ACK] Seq=1 Ack=1 Win=64120 Len=1 [TCP segment of a reassembled PDU]"
"12","2.023236","10.0.3.15","18.155.129.101","TCP","55","49884  >  443 [ACK] Seq=1 Ack=1 Win=64032 Len=1 [TCP segment of a reassembled PDU]"
"13","2.023247","10.0.3.15","204.79.197.203","TCP","55","49890  >  443 [ACK] Seq=1 Ack=1 Win=63719 Len=1 [TCP segment of a reassembled PDU]"
"14","2.023410","13.74.129.1","10.0.3.15","TCP","60","443  >  49880 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"15","2.023410","18.155.129.101","10.0.3.15","TCP","60","443  >  49884 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"16","2.023410","204.79.197.203","10.0.3.15","TCP","60","443  >  49890 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"17","2.024929","10.0.3.15","204.79.197.203","TCP","55","49886  >  443 [ACK] Seq=1 Ack=1 Win=63719 Len=1 [TCP segment of a reassembled PDU]"
"18","2.024943","10.0.3.15","13.107.21.237","TCP","55","49881  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"19","2.025027","204.79.197.203","10.0.3.15","TCP","60","443  >  49886 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"20","2.025027","13.107.21.237","10.0.3.15","TCP","60","443  >  49881 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"21","2.182006","10.0.3.15","13.107.6.158","TCP","55","50073  >  443 [ACK] Seq=1 Ack=1 Win=62962 Len=1 [TCP segment of a reassembled PDU]"
"22","2.182242","13.107.6.158","10.0.3.15","TCP","60","443  >  50073 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"23","2.259328","10.0.3.15","18.245.199.96","TCP","55","50074  >  443 [ACK] Seq=1 Ack=1 Win=63541 Len=1 [TCP segment of a reassembled PDU]"
"24","2.259527","18.245.199.96","10.0.3.15","TCP","60","443  >  50074 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"25","2.301323","10.0.3.15","13.74.129.1","TCP","55","50076  >  443 [ACK] Seq=1 Ack=1 Win=63767 Len=1 [TCP segment of a reassembled PDU]"
"26","2.301517","13.74.129.1","10.0.3.15","TCP","60","443  >  50076 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"27","2.335428","10.0.3.15","204.79.197.203","TCP","55","50077  >  443 [ACK] Seq=1 Ack=1 Win=63237 Len=1 [TCP segment of a reassembled PDU]"
"28","2.335621","204.79.197.203","10.0.3.15","TCP","60","443  >  50077 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"29","2.827882","10.0.3.15","13.69.116.108","TLSv1.2","133","Application Data"
"30","2.827947","10.0.3.15","13.69.116.108","TLSv1.2","857","Application Data"
"31","2.828151","13.69.116.108","10.0.3.15","TCP","60","443  >  49979 [ACK] Seq=100 Ack=1001 Win=65535 Len=0"
"32","2.828151","13.69.116.108","10.0.3.15","TCP","60","443  >  49979 [ACK] Seq=100 Ack=1804 Win=65535 Len=0"
"33","2.878424","13.69.116.108","10.0.3.15","TLSv1.2","153","Application Data"
"34","2.927851","10.0.3.15","13.69.116.108","TCP","54","49979  >  443 [ACK] Seq=1804 Ack=199 Win=63096 Len=0"
"35","3.178346","10.0.3.15","2.17.197.81","TCP","55","49883  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"36","3.178551","2.17.197.81","10.0.3.15","TCP","60","443  >  49883 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"37","3.206384","10.0.3.15","204.79.197.219","TCP","55","50085  >  443 [ACK] Seq=1 Ack=1 Win=63574 Len=1 [TCP segment of a reassembled PDU]"
"38","3.206482","10.0.3.15","204.79.197.219","TCP","55","50084  >  443 [ACK] Seq=1 Ack=1 Win=63719 Len=1 [TCP segment of a reassembled PDU]"
"39","3.206620","204.79.197.219","10.0.3.15","TCP","60","443  >  50085 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"40","3.206620","204.79.197.219","10.0.3.15","TCP","60","443  >  50084 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"41","3.208822","10.0.3.15","151.101.9.44","TCP","55","50086  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1 [TCP segment of a reassembled PDU]"
"42","3.208944","151.101.9.44","10.0.3.15","TCP","60","443  >  50086 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"43","3.891019","10.0.3.15","13.69.116.108","TLSv1.2","137","Application Data"
"44","3.891094","10.0.3.15","13.69.116.108","TLSv1.2","1162","Application Data"
"45","3.891371","13.69.116.108","10.0.3.15","TCP","60","443  >  49979 [ACK] Seq=199 Ack=1887 Win=65535 Len=0"
"46","3.891371","13.69.116.108","10.0.3.15","TCP","60","443  >  49979 [ACK] Seq=199 Ack=2995 Win=65535 Len=0"
"47","3.913299","13.69.116.108","10.0.3.15","TLSv1.2","153","Application Data"
"48","3.959154","10.0.3.15","13.69.116.108","TCP","54","49979  >  443 [ACK] Seq=2995 Ack=298 Win=62997 Len=0"
"49","3.971385","10.0.3.15","10.0.3.3","DNS","94","Standard query 0x51f9 A app-edge.smartscreen.microsoft.com"
"50","3.971559","10.0.3.15","10.0.3.3","DNS","94","Standard query 0x86f4 HTTPS app-edge.smartscreen.microsoft.com"
"51","3.990061","10.0.3.3","10.0.3.15","DNS","551","Standard query response 0x51f9 A app-edge.smartscreen.microsoft.com CNAME prod-atm-wds-apprep.trafficmanager.net CNAME prod-agic-we-1.westeurope.cloudapp.azure.com A 20.82.9.214 NS ns10-201.azure-dns.net NS ns12-201.azure-dns.info NS ns9-201.azure-dns.com NS ns2-201.azure-dns.net NS ns11-201.azure-dns.org NS ns1-201.azure-dns.com A 13.107.236.201 A 150.171.21.201 A 13.107.222.201 A 208.84.5.201 A 150.171.16.201 A 150.171.10.201 AAAA 2603:1061:0:700::c9 AAAA 2620:1ec:8ec:700::c9"
