,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1721138620.594423000,192.168.56.102,239.255.255.250,UDP,217,49789,1900,,,,,
1,1721138621.594700000,192.168.56.102,239.255.255.250,UDP,217,49789,1900,,,,,
2,1721138622.599308000,192.168.56.102,239.255.255.250,UDP,217,49789,1900,,,,,
3,1721138623.614290000,192.168.56.102,239.255.255.250,UDP,217,49789,1900,,,,,
4,1721138636.000721000,192.168.56.102,192.168.56.101,TCP,66,49766,8888,,,,,
5,1721138636.000930000,192.168.56.101,192.168.56.102,TCP,60,8888,49766,,,,,
6,1721138636.504056000,192.168.56.102,192.168.56.101,TCP,66,49766,8888,,,,,
7,1721138636.504376000,192.168.56.101,192.168.56.102,TCP,60,8888,49766,,,,,
8,1721138637.015937000,192.168.56.102,192.168.56.101,TCP,66,49766,8888,,,,,
9,1721138637.016277000,192.168.56.101,192.168.56.102,TCP,60,8888,49766,,,,,
10,1721138637.531520000,192.168.56.102,192.168.56.101,TCP,66,49766,8888,,,,,
11,1721138637.531838000,192.168.56.101,192.168.56.102,TCP,60,8888,49766,,,,,
12,1721138638.047365000,192.168.56.102,192.168.56.101,TCP,66,49766,8888,,,,,
13,1721138638.047626000,192.168.56.101,192.168.56.102,TCP,60,8888,49766,,,,,
14,1721138640.877266000,0,0,,42,0,0,,,,,
15,1721138640.877515000,0,0,,60,0,0,,,,,
16,1721138641.074615000,0,0,,60,0,0,,,,,
17,1721138641.074637000,0,0,,42,0,0,,,,,
18,1721138698.052370000,192.168.56.102,192.168.56.101,TCP,66,49767,8888,,,,,
19,1721138698.052715000,192.168.56.101,192.168.56.102,TCP,66,8888,49767,,,,,
20,1721138698.052783000,192.168.56.102,192.168.56.101,TCP,54,49767,8888,,,,,
21,1721138698.053204000,192.168.56.102,192.168.56.101,TCP,293,49767,8888,,,,,
22,1721138698.053456000,192.168.56.101,192.168.56.102,TCP,60,8888,49767,,,,,
23,1721138698.054170000,192.168.56.101,192.168.56.102,TCP,929,8888,49767,,,,,
24,1721138698.087959000,192.168.56.102,192.168.56.101,TCP,739,49767,8888,,,,,
25,1721138698.092543000,192.168.56.102,192.168.56.101,TCP,80,49767,8888,,,,,
26,1721138698.092560000,192.168.56.102,192.168.56.101,TCP,501,49767,8888,,,,,
27,1721138698.092759000,192.168.56.101,192.168.56.102,TCP,60,8888,49767,,,,,
28,1721138699.097033000,192.168.56.102,192.168.56.101,TCP,78,49767,8888,,,,,
29,1721138699.097086000,192.168.56.102,192.168.56.101,TCP,54,49767,8888,,,,,
30,1721138699.097620000,192.168.56.101,192.168.56.102,TCP,78,8888,49767,,,,,
31,1721138699.097662000,192.168.56.102,192.168.56.101,TCP,54,49767,8888,,,,,
32,1721138699.097767000,192.168.56.101,192.168.56.102,TCP,60,8888,49767,,,,,
33,1721138699.098267000,192.168.56.102,192.168.56.101,TCP,66,49768,8888,,,,,
34,1721138699.098424000,192.168.56.101,192.168.56.102,TCP,66,8888,49768,,,,,
35,1721138699.098458000,192.168.56.102,192.168.56.101,TCP,54,49768,8888,,,,,
36,1721138699.098668000,192.168.56.102,192.168.56.101,TCP,293,49768,8888,,,,,
37,1721138699.098820000,192.168.56.101,192.168.56.102,TCP,60,8888,49768,,,,,
38,1721138699.099478000,192.168.56.101,192.168.56.102,TCP,929,8888,49768,,,,,
39,1721138699.113512000,192.168.56.102,192.168.56.101,TCP,739,49768,8888,,,,,
40,1721138699.113599000,192.168.56.102,192.168.56.101,TCP,80,49768,8888,,,,,
41,1721138699.113620000,192.168.56.102,192.168.56.101,TCP,120,49768,8888,,,,,
42,1721138699.116165000,192.168.56.101,192.168.56.102,TCP,60,8888,49768,,,,,
43,1721138699.117069000,192.168.56.101,192.168.56.102,TCP,80,8888,49768,,,,,
44,1721138699.117124000,192.168.56.101,192.168.56.102,TCP,78,8888,49768,,,,,
45,1721138699.117142000,192.168.56.102,192.168.56.101,TCP,54,49768,8888,,,,,
46,1721138700.130610000,192.168.56.102,192.168.56.101,TCP,78,49768,8888,,,,,
47,1721138700.130658000,192.168.56.102,192.168.56.101,TCP,54,49768,8888,,,,,
48,1721138700.131231000,192.168.56.101,192.168.56.102,TCP,78,8888,49768,,,,,
49,1721138700.131231000,192.168.56.101,192.168.56.102,TCP,60,8888,49768,,,,,
50,1721138700.131264000,192.168.56.102,192.168.56.101,TCP,54,49768,8888,,,,,
51,1721138722.868595000,192.168.56.102,192.168.56.100,UDP,356,68,67,,,,,
52,1721138722.873720000,192.168.56.100,192.168.56.102,UDP,590,67,68,,,,,
53,1721138722.877473000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
54,1721138722.877473000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
55,1721138722.882272000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
56,1721138722.882312000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
57,1721138722.883554000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
58,1721138722.883759000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
59,1721138722.884011000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
60,1721138722.884031000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
61,1721138722.884193000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
62,1721138722.884268000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
63,1721138722.885031000,192.168.56.102,224.0.0.251,UDP,80,5353,5353,,,,,
64,1721138722.885400000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,100,5353,5353,,,,,
65,1721138722.885659000,fe80::9c4f:4e27:e09a:8d13,ff02::1:3,UDP,94,54216,5355,,,,,
66,1721138722.885754000,192.168.56.102,224.0.0.252,UDP,74,54216,5355,,,,,
67,1721138722.885794000,192.168.56.102,224.0.0.251,UDP,118,5353,5353,,,,,
68,1721138722.885932000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,138,5353,5353,,,,,
69,1721138723.389826000,192.168.56.102,224.0.0.22,,54,0,0,,,,,
70,1721138723.389876000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,
71,1721138727.378805000,0,0,,42,0,0,,,,,
72,1721138727.379021000,0,0,,60,0,0,,,,,
73,1721138740.606146000,192.168.56.102,239.255.255.250,UDP,217,54217,1900,,,,,
74,1721138741.619838000,192.168.56.102,239.255.255.250,UDP,217,54217,1900,,,,,
75,1721138742.620432000,192.168.56.102,239.255.255.250,UDP,217,54217,1900,,,,,
76,1721138743.633779000,192.168.56.102,239.255.255.250,UDP,217,54217,1900,,,,,
77,1721138779.996956000,192.168.56.102,192.168.56.101,TCP,66,49769,8888,,,,,
