,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent,response_phrase,content_type,content_length
0,1721136856.615293000,192.168.56.1,224.0.0.251,UDP,200,5353,5353,,,,,,,,
1,1721136856.615529000,fe80::800:27ff:fe00:0,ff02::fb,UDP,220,5353,5353,,,,,,,,
2,1721136894.655264000,192.168.56.102,192.168.56.101,TCP,55,49752,80,,,,,,,,
3,1721136894.655564000,192.168.56.101,192.168.56.102,TCP,60,80,49752,,,,,,,,
4,1721136899.804989000,0,0,,60,0,0,,,,,,,,
5,1721136899.805004000,0,0,,42,0,0,,,,,,,,
6,1721136920.576889000,192.168.56.102,192.168.56.100,UDP,356,68,67,,,,,,,,
7,1721136920.581851000,192.168.56.100,192.168.56.102,UDP,590,67,68,,,,,,,,
8,1721136920.586194000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
9,1721136920.586206000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
10,1721136920.591477000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
11,1721136920.591584000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
12,1721136920.591907000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
13,1721136920.591921000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
14,1721136920.592024000,fe80::9c4f:4e27:e09a:8d13,ff02::16,,90,0,0,,,,,,,,
15,1721136920.592143000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
16,1721136920.592749000,192.168.56.102,224.0.0.251,UDP,80,5353,5353,,,,,,,,
17,1721136920.593064000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,100,5353,5353,,,,,,,,
18,1721136920.593242000,fe80::9c4f:4e27:e09a:8d13,ff02::1:3,UDP,94,60293,5355,,,,,,,,
19,1721136920.593289000,192.168.56.102,224.0.0.252,UDP,74,60293,5355,,,,,,,,
20,1721136920.593302000,192.168.56.102,224.0.0.251,UDP,118,5353,5353,,,,,,,,
21,1721136920.593408000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,138,5353,5353,,,,,,,,
22,1721136920.778399000,192.168.56.102,224.0.0.22,,54,0,0,,,,,,,,
