,time,source,destination,protocol,length,source_port,destination_port,request_method,response_code,request_uri,data,user_agent
0,1721134356.391165000,192.168.56.102,192.168.56.101,HTTPS,66,49689,443,,,,,
1,1721134356.391375000,192.168.56.101,192.168.56.102,HTTPS,66,443,49689,,,,,
2,1721134356.391420000,192.168.56.102,192.168.56.101,HTTPS,54,49689,443,,,,,
3,1721134356.391682000,192.168.56.102,192.168.56.101,HTTPS,293,49689,443,,,,,
4,1721134356.391824000,192.168.56.101,192.168.56.102,HTTPS,60,443,49689,,,,,
5,1721134356.393212000,192.168.56.101,192.168.56.102,HTTPS,1249,443,49689,,,,,
6,1721134356.393711000,192.168.56.102,192.168.56.101,HTTPS,118,49689,443,,,,,
7,1721134356.393821000,192.168.56.102,192.168.56.101,HTTPS,1262,49689,443,,,,,
8,1721134356.393857000,192.168.56.102,192.168.56.101,HTTPS,1720,49689,443,,,,,
9,1721134356.393957000,192.168.56.101,192.168.56.102,HTTPS,60,443,49689,,,,,
10,1721134356.395215000,192.168.56.101,192.168.56.102,HTTPS,1184,443,49689,,,,,
11,1721134356.398996000,192.168.56.102,192.168.56.101,HTTPS,78,49689,443,,,,,
12,1721134356.399039000,192.168.56.102,192.168.56.101,HTTPS,54,49689,443,,,,,
13,1721134356.399100000,192.168.56.102,192.168.56.101,HTTPS,66,49690,443,,,,,
14,1721134356.399204000,192.168.56.101,192.168.56.102,HTTPS,66,443,49690,,,,,
15,1721134356.399236000,192.168.56.102,192.168.56.101,HTTPS,54,49690,443,,,,,
16,1721134356.399303000,192.168.56.101,192.168.56.102,HTTPS,78,443,49689,,,,,
17,1721134356.399303000,192.168.56.101,192.168.56.102,HTTPS,60,443,49689,,,,,
18,1721134356.399327000,192.168.56.102,192.168.56.101,HTTPS,54,49689,443,,,,,
19,1721134356.399521000,192.168.56.102,192.168.56.101,HTTPS,293,49690,443,,,,,
20,1721134356.399634000,192.168.56.101,192.168.56.102,HTTPS,60,443,49690,,,,,
21,1721134356.401073000,192.168.56.101,192.168.56.102,HTTPS,1249,443,49690,,,,,
22,1721134356.401488000,192.168.56.102,192.168.56.101,HTTPS,118,49690,443,,,,,
23,1721134356.401582000,192.168.56.102,192.168.56.101,HTTPS,987,49690,443,,,,,
24,1721134356.401687000,192.168.56.101,192.168.56.102,HTTPS,60,443,49690,,,,,
25,1721134356.409453000,192.168.56.101,192.168.56.102,HTTPS,157,443,49690,,,,,
26,1721134356.409589000,192.168.56.102,192.168.56.101,HTTPS,78,49690,443,,,,,
27,1721134356.409659000,192.168.56.102,192.168.56.101,HTTPS,54,49690,443,,,,,
28,1721134356.409757000,192.168.56.101,192.168.56.102,HTTPS,78,443,49690,,,,,
29,1721134356.409757000,192.168.56.101,192.168.56.102,HTTPS,60,443,49690,,,,,
30,1721134356.409779000,192.168.56.102,192.168.56.101,HTTPS,54,49690,443,,,,,
31,1721134357.416427000,192.168.56.102,192.168.56.101,HTTPS,66,49691,443,,,,,
32,1721134357.416655000,192.168.56.101,192.168.56.102,HTTPS,66,443,49691,,,,,
33,1721134357.416694000,192.168.56.102,192.168.56.101,HTTPS,54,49691,443,,,,,
34,1721134357.416916000,192.168.56.102,192.168.56.101,HTTPS,293,49691,443,,,,,
35,1721134357.417058000,192.168.56.101,192.168.56.102,HTTPS,60,443,49691,,,,,
36,1721134357.418603000,192.168.56.101,192.168.56.102,HTTPS,1249,443,49691,,,,,
37,1721134357.419118000,192.168.56.102,192.168.56.101,HTTPS,118,49691,443,,,,,
38,1721134357.419207000,192.168.56.102,192.168.56.101,HTTPS,543,49691,443,,,,,
39,1721134357.419319000,192.168.56.101,192.168.56.102,HTTPS,60,443,49691,,,,,
40,1721134357.419702000,192.168.56.101,192.168.56.102,HTTPS,157,443,49691,,,,,
41,1721134357.419835000,192.168.56.102,192.168.56.101,HTTPS,517,49691,443,,,,,
42,1721134357.420054000,192.168.56.101,192.168.56.102,HTTPS,776,443,49691,,,,,
43,1721134357.431223000,192.168.56.102,192.168.56.101,HTTPS,78,49691,443,,,,,
44,1721134357.431306000,192.168.56.102,192.168.56.101,HTTPS,54,49691,443,,,,,
45,1721134357.431412000,192.168.56.101,192.168.56.102,HTTPS,78,443,49691,,,,,
46,1721134357.431412000,192.168.56.101,192.168.56.102,HTTPS,60,443,49691,,,,,
47,1721134357.431432000,192.168.56.102,192.168.56.101,HTTPS,54,49691,443,,,,,
48,1721134368.210108000,fe80::a3a5:d549:98af:516d,ff02::2,,62,0,0,,,,,
49,1721134374.030165000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,
50,1721134374.030726000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,
51,1721134374.037538000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,
52,1721134374.037892000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,
53,1721134375.039469000,192.168.56.102,224.0.0.251,UDP,85,5353,5353,,,,,
54,1721134375.039831000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,105,5353,5353,,,,,
55,1721134375.040248000,192.168.56.102,224.0.0.251,UDP,77,5353,5353,,,,,
56,1721134375.040559000,fe80::9c4f:4e27:e09a:8d13,ff02::fb,UDP,97,5353,5353,,,,,
57,1721134415.408275000,192.168.56.102,239.255.255.250,UDP,217,61810,1900,,,,,
58,1721134416.418143000,192.168.56.102,239.255.255.250,UDP,217,61810,1900,,,,,
59,1721134417.421289000,192.168.56.102,239.255.255.250,UDP,217,61810,1900,,,,,
60,1721134418.429882000,192.168.56.102,239.255.255.250,UDP,217,61810,1900,,,,,
61,1721134437.836115000,192.168.56.102,192.168.56.101,HTTPS,66,49692,443,,,,,
62,1721134437.836412000,192.168.56.101,192.168.56.102,HTTPS,66,443,49692,,,,,
63,1721134437.836474000,192.168.56.102,192.168.56.101,HTTPS,54,49692,443,,,,,
64,1721134437.836810000,192.168.56.102,192.168.56.101,HTTPS,293,49692,443,,,,,
65,1721134437.836984000,192.168.56.101,192.168.56.102,HTTPS,60,443,49692,,,,,
66,1721134437.839230000,192.168.56.101,192.168.56.102,HTTPS,1249,443,49692,,,,,
67,1721134437.839920000,192.168.56.102,192.168.56.101,HTTPS,118,49692,443,,,,,
68,1721134437.840049000,192.168.56.102,192.168.56.101,HTTPS,503,49692,443,,,,,
69,1721134437.840243000,192.168.56.101,192.168.56.102,HTTPS,60,443,49692,,,,,
70,1721134437.864292000,192.168.56.101,192.168.56.102,HTTPS,157,443,49692,,,,,
71,1721134437.864457000,192.168.56.102,192.168.56.101,HTTPS,78,49692,443,,,,,
72,1721134437.864524000,192.168.56.102,192.168.56.101,HTTPS,54,49692,443,,,,,
73,1721134437.864731000,192.168.56.102,192.168.56.101,HTTPS,66,49693,443,,,,,
74,1721134437.864746000,192.168.56.101,192.168.56.102,HTTPS,78,443,49692,,,,,
75,1721134437.864770000,192.168.56.102,192.168.56.101,HTTPS,54,49692,443,,,,,
76,1721134437.864882000,192.168.56.101,192.168.56.102,HTTPS,60,443,49692,,,,,
77,1721134437.864882000,192.168.56.101,192.168.56.102,HTTPS,66,443,49693,,,,,
78,1721134437.864935000,192.168.56.102,192.168.56.101,HTTPS,54,49693,443,,,,,
79,1721134437.865127000,192.168.56.102,192.168.56.101,HTTPS,293,49693,443,,,,,
80,1721134437.865284000,192.168.56.101,192.168.56.102,HTTPS,60,443,49693,,,,,
81,1721134437.867564000,192.168.56.101,192.168.56.102,HTTPS,1249,443,49693,,,,,
82,1721134437.868225000,192.168.56.102,192.168.56.101,HTTPS,118,49693,443,,,,,
83,1721134437.868320000,192.168.56.102,192.168.56.101,HTTPS,514,49693,443,,,,,
84,1721134437.868480000,192.168.56.101,192.168.56.102,HTTPS,60,443,49693,,,,,
85,1721134437.868735000,192.168.56.101,192.168.56.102,HTTPS,432,443,49693,,,,,
86,1721134437.869909000,192.168.56.102,192.168.56.101,HTTPS,78,49693,443,,,,,
87,1721134437.870143000,192.168.56.101,192.168.56.102,HTTPS,78,443,49693,,,,,
88,1721134437.870143000,192.168.56.101,192.168.56.102,HTTPS,60,443,49693,,,,,
89,1721134437.870170000,192.168.56.102,192.168.56.101,HTTPS,54,49693,443,,,,,
90,1721134437.870263000,192.168.56.102,192.168.56.101,HTTPS,54,49693,443,,,,,
91,1721134437.975607000,192.168.56.102,192.168.56.101,HTTPS,66,49694,443,,,,,
92,1721134437.976044000,192.168.56.101,192.168.56.102,HTTPS,66,443,49694,,,,,
93,1721134437.976117000,192.168.56.102,192.168.56.101,HTTPS,54,49694,443,,,,,
94,1721134437.976411000,192.168.56.102,192.168.56.101,HTTPS,293,49694,443,,,,,
95,1721134437.976550000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
96,1721134437.978207000,192.168.56.101,192.168.56.102,HTTPS,1249,443,49694,,,,,
97,1721134437.978801000,192.168.56.102,192.168.56.101,HTTPS,118,49694,443,,,,,
98,1721134437.978914000,192.168.56.102,192.168.56.101,HTTPS,1262,49694,443,,,,,
99,1721134437.978941000,192.168.56.102,192.168.56.101,HTTPS,2448,49694,443,,,,,
100,1721134437.978965000,192.168.56.102,192.168.56.101,HTTPS,614,49694,443,,,,,
101,1721134437.979040000,192.168.56.102,192.168.56.101,HTTPS,4820,49694,443,,,,,
102,1721134437.979062000,192.168.56.102,192.168.56.101,HTTPS,5894,49694,443,,,,,
103,1721134437.979090000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
104,1721134437.979105000,192.168.56.102,192.168.56.101,HTTPS,7304,49694,443,,,,,
105,1721134437.979203000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
106,1721134437.979203000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
107,1721134437.979268000,192.168.56.102,192.168.56.101,HTTPS,21954,49694,443,,,,,
108,1721134437.979311000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
109,1721134437.979330000,192.168.56.102,192.168.56.101,HTTPS,8814,49694,443,,,,,
110,1721134437.979419000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
111,1721134437.979427000,192.168.56.102,192.168.56.101,HTTPS,13194,49694,443,,,,,
112,1721134437.979526000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
113,1721134437.979526000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
114,1721134437.979536000,192.168.56.102,192.168.56.101,HTTPS,17574,49694,443,,,,,
115,1721134437.979587000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
116,1721134437.979587000,192.168.56.102,192.168.56.101,HTTPS,1266,49694,443,,,,,
117,1721134437.979597000,192.168.56.102,192.168.56.101,HTTPS,4434,49694,443,,,,,
118,1721134437.979705000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
119,1721134437.979733000,192.168.56.102,192.168.56.101,HTTPS,4434,49694,443,,,,,
120,1721134437.979767000,192.168.56.101,192.168.56.102,HTTPS,60,443,49694,,,,,
