,time,source,destination,protocol,length,source_port,destination_port,request_method,request_uri,data,user_agent
0,1722788123.225159000,10.0.3.15,20.190.177.148,TCP,66,49896,443,,,,
1,1722788123.235660000,10.0.3.15,10.0.3.3,UDP,91,56887,53,,,,
2,1722788123.251148000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
3,1722788123.251232000,10.0.3.15,20.190.177.148,TCP,54,49896,443,,,,
4,1722788123.253110000,10.0.3.15,20.190.177.148,TCP,342,49896,443,,,,
5,1722788123.253269000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
6,1722788123.260274000,10.0.3.3,10.0.3.15,UDP,225,53,56887,,,,
7,1722788123.271306000,10.0.3.15,20.90.153.243,TCP,301,49676,443,,,,
8,1722788123.271570000,20.90.153.243,10.0.3.15,TCP,60,443,49676,,,,
9,1722788123.283630000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
10,1722788123.283630000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
11,1722788123.283717000,10.0.3.15,20.190.177.148,TCP,54,49896,443,,,,
12,1722788123.283828000,20.190.177.148,10.0.3.15,TCP,1092,443,49896,,,,
13,1722788123.292116000,10.0.3.15,20.190.177.148,TCP,212,49896,443,,,,
14,1722788123.292383000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
15,1722788123.298084000,10.0.3.15,40.127.240.158,TCP,66,49897,443,,,,
16,1722788123.300800000,20.90.153.243,10.0.3.15,TCP,232,443,49676,,,,
17,1722788123.317483000,20.190.177.148,10.0.3.15,TCP,105,443,49896,,,,
18,1722788123.318088000,10.0.3.15,20.190.177.148,TCP,353,49896,443,,,,
19,1722788123.318150000,10.0.3.15,20.190.177.148,TCP,4793,49896,443,,,,
20,1722788123.318271000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
21,1722788123.318271000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
22,1722788123.318271000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
23,1722788123.318271000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
24,1722788123.318271000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
25,1722788123.336467000,40.127.240.158,10.0.3.15,TCP,60,443,49897,,,,
26,1722788123.336624000,10.0.3.15,40.127.240.158,TCP,54,49897,443,,,,
27,1722788123.344708000,10.0.3.15,40.127.240.158,TCP,268,49897,443,,,,
28,1722788123.345156000,40.127.240.158,10.0.3.15,TCP,60,443,49897,,,,
29,1722788123.345256000,10.0.3.15,20.90.153.243,TCP,54,49676,443,,,,
30,1722788123.358090000,10.0.3.15,40.127.240.158,TCP,66,49898,443,,,,
31,1722788123.382187000,40.127.240.158,10.0.3.15,TCP,1502,443,49897,,,,
32,1722788123.382888000,40.127.240.158,10.0.3.15,TCP,1514,443,49897,,,,
33,1722788123.382916000,10.0.3.15,40.127.240.158,TCP,54,49897,443,,,,
34,1722788123.383034000,40.127.240.158,10.0.3.15,TCP,904,443,49897,,,,
35,1722788123.395700000,40.127.240.158,10.0.3.15,TCP,60,443,49898,,,,
36,1722788123.395837000,10.0.3.15,40.127.240.158,TCP,54,49898,443,,,,
37,1722788123.407413000,10.0.3.15,40.127.240.158,TCP,212,49897,443,,,,
38,1722788123.407689000,40.127.240.158,10.0.3.15,TCP,60,443,49897,,,,
39,1722788123.418706000,10.0.3.15,40.127.240.158,TCP,268,49898,443,,,,
40,1722788123.419013000,40.127.240.158,10.0.3.15,TCP,60,443,49898,,,,
41,1722788123.443889000,40.127.240.158,10.0.3.15,TCP,105,443,49897,,,,
42,1722788123.444472000,40.127.240.158,10.0.3.15,TCP,123,443,49897,,,,
43,1722788123.444504000,10.0.3.15,40.127.240.158,TCP,54,49897,443,,,,
44,1722788123.456622000,40.127.240.158,10.0.3.15,TCP,1514,443,49898,,,,
45,1722788123.456622000,40.127.240.158,10.0.3.15,TCP,1514,443,49898,,,,
46,1722788123.456691000,10.0.3.15,40.127.240.158,TCP,54,49898,443,,,,
47,1722788123.456813000,40.127.240.158,10.0.3.15,TCP,892,443,49898,,,,
48,1722788123.472940000,10.0.3.15,40.127.240.158,TCP,212,49898,443,,,,
49,1722788123.473239000,40.127.240.158,10.0.3.15,TCP,60,443,49898,,,,
50,1722788123.483862000,10.0.3.15,239.255.255.250,UDP,179,53213,1900,,,,
51,1722788123.510385000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
52,1722788123.511016000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
53,1722788123.511058000,10.0.3.15,20.190.177.148,TCP,54,49896,443,,,,
54,1722788123.511172000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
55,1722788123.511286000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
56,1722788123.511304000,10.0.3.15,20.190.177.148,TCP,54,49896,443,,,,
57,1722788123.512087000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
58,1722788123.512087000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
59,1722788123.512087000,20.190.177.148,10.0.3.15,TCP,1514,443,49896,,,,
60,1722788123.512087000,20.190.177.148,10.0.3.15,TCP,605,443,49896,,,,
61,1722788123.512087000,40.127.240.158,10.0.3.15,TCP,174,443,49898,,,,
62,1722788123.512087000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
63,1722788123.512158000,10.0.3.15,20.190.177.148,TCP,54,49896,443,,,,
64,1722788123.514267000,10.0.3.15,20.190.177.148,TCP,85,49896,443,,,,
65,1722788123.514303000,10.0.3.15,20.190.177.148,TCP,54,49896,443,,,,
66,1722788123.514443000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
67,1722788123.514443000,20.190.177.148,10.0.3.15,TCP,60,443,49896,,,,
68,1722788123.557000000,10.0.3.15,40.127.240.158,TCP,54,49898,443,,,,
69,1722788123.593086000,10.0.3.15,40.127.240.158,TCP,66,49901,443,,,,
70,1722788123.613065000,10.0.3.15,40.127.240.158,TCP,141,49898,443,,,,
71,1722788123.613152000,10.0.3.15,40.127.240.158,TCP,175,49898,443,,,,
72,1722788123.613294000,10.0.3.15,40.127.240.158,TCP,92,49898,443,,,,
73,1722788123.613415000,40.127.240.158,10.0.3.15,TCP,60,443,49898,,,,
74,1722788123.613415000,40.127.240.158,10.0.3.15,TCP,60,443,49898,,,,
75,1722788123.613415000,40.127.240.158,10.0.3.15,TCP,60,443,49898,,,,
76,1722788123.631241000,40.127.240.158,10.0.3.15,TCP,60,443,49901,,,,
77,1722788123.631417000,10.0.3.15,40.127.240.158,TCP,54,49901,443,,,,
78,1722788123.632509000,10.0.3.15,40.127.240.158,TCP,268,49901,443,,,,
79,1722788123.632864000,40.127.240.158,10.0.3.15,TCP,60,443,49901,,,,
80,1722788123.641251000,10.0.3.15,10.0.3.3,UDP,86,59408,53,,,,
81,1722788123.648703000,40.127.240.158,10.0.3.15,TCP,92,443,49898,,,,
82,1722788123.651821000,10.0.3.15,40.127.240.158,TCP,141,49897,443,,,,
83,1722788123.651952000,10.0.3.15,40.127.240.158,TCP,258,49897,443,,,,
84,1722788123.652064000,40.127.240.158,10.0.3.15,TCP,60,443,49897,,,,
85,1722788123.652064000,40.127.240.158,10.0.3.15,TCP,60,443,49897,,,,
86,1722788123.652098000,10.0.3.15,40.127.240.158,TCP,92,49897,443,,,,
87,1722788123.652255000,40.127.240.158,10.0.3.15,TCP,60,443,49897,,,,
88,1722788123.655480000,10.0.3.15,10.0.3.3,UDP,92,56887,53,,,,
89,1722788123.662792000,10.0.3.3,10.0.3.15,UDP,416,53,59408,,,,
90,1722788123.663941000,10.0.3.15,13.85.23.86,TCP,66,49902,443,,,,
91,1722788123.670020000,40.127.240.158,10.0.3.15,TCP,1502,443,49901,,,,
92,1722788123.670258000,40.127.240.158,10.0.3.15,TCP,1514,443,49901,,,,
93,1722788123.670319000,10.0.3.15,40.127.240.158,TCP,54,49901,443,,,,
94,1722788123.670562000,40.127.240.158,10.0.3.15,TCP,904,443,49901,,,,
95,1722788123.674910000,10.0.3.15,40.127.240.158,TCP,212,49901,443,,,,
96,1722788123.675191000,40.127.240.158,10.0.3.15,TCP,60,443,49901,,,,
