"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.101","TCP","66","49723  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.000219","192.168.56.101","192.168.56.102","TCP","60","443  >  49723 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.519986","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49723  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.520178","192.168.56.101","192.168.56.102","TCP","60","443  >  49723 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.020429","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49723  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.020662","192.168.56.101","192.168.56.102","TCP","60","443  >  49723 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","1.524583","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49723  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"8","1.524928","192.168.56.101","192.168.56.102","TCP","60","443  >  49723 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"9","2.027285","192.168.56.102","192.168.56.101","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 49723  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"10","2.028640","192.168.56.101","192.168.56.102","TCP","60","443  >  49723 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","2.032556","192.168.56.102","192.168.56.101","TCP","66","49724  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"12","2.032767","192.168.56.101","192.168.56.102","TCP","66","80  >  49724 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"13","2.032826","192.168.56.102","192.168.56.101","TCP","54","49724  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"14","2.033139","192.168.56.102","192.168.56.101","HTTP","864","POST /api.html?rz=975374w45&s=h94528315 HTTP/1.1 "
"15","2.033293","192.168.56.101","192.168.56.102","TCP","60","80  >  49724 [ACK] Seq=1 Ack=811 Win=31872 Len=0"
"16","2.034694","192.168.56.101","192.168.56.102","HTTP","454","HTTP/1.1 200 OK  (text/plain)"
"17","2.035365","192.168.56.102","192.168.56.101","TCP","54","49724  >  80 [FIN, ACK] Seq=811 Ack=401 Win=262400 Len=0"
"18","2.035568","192.168.56.101","192.168.56.102","TCP","60","80  >  49724 [FIN, ACK] Seq=401 Ack=812 Win=31872 Len=0"
"19","2.035607","192.168.56.102","192.168.56.101","TCP","54","49724  >  80 [ACK] Seq=812 Ack=402 Win=262400 Len=0"
"20","2.037773","192.168.56.102","192.168.56.101","TCP","66","49725  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"21","2.038059","192.168.56.101","192.168.56.102","TCP","66","80  >  49725 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"22","2.038139","192.168.56.102","192.168.56.101","TCP","54","49725  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"23","2.038536","192.168.56.102","192.168.56.101","HTTP","526","GET /bootstrap.js?w=46p9162n81 HTTP/1.1 "
"24","2.038755","192.168.56.101","192.168.56.102","TCP","60","80  >  49725 [ACK] Seq=1 Ack=473 Win=31872 Len=0"
"25","2.046708","192.168.56.102","192.168.56.101","TCP","66","49726  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"26","2.046912","192.168.56.101","192.168.56.102","TCP","66","80  >  49726 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"27","2.046966","192.168.56.102","192.168.56.101","TCP","54","49726  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"28","2.047145","192.168.56.102","192.168.56.101","HTTP","760","POST /authenticate/api.php?f=6r7994158 HTTP/1.1 "
"29","2.047274","192.168.56.101","192.168.56.102","TCP","60","80  >  49726 [ACK] Seq=1 Ack=707 Win=31872 Len=0"
"30","2.047585","192.168.56.101","192.168.56.102","HTTP","135","HTTP/1.1 202 Accepted "
"31","2.058500","192.168.56.102","192.168.56.101","TCP","54","49726  >  80 [FIN, ACK] Seq=707 Ack=82 Win=262656 Len=0"
"32","2.058927","192.168.56.101","192.168.56.102","TCP","60","80  >  49726 [FIN, ACK] Seq=82 Ack=708 Win=31872 Len=0"
"33","2.059024","192.168.56.102","192.168.56.101","TCP","54","49726  >  80 [ACK] Seq=708 Ack=83 Win=262656 Len=0"
"34","3.872059","192.168.56.101","192.168.56.102","HTTP","118","HTTP/1.1 204 No Content "
"35","3.872442","192.168.56.102","192.168.56.101","TCP","54","49725  >  80 [FIN, ACK] Seq=473 Ack=65 Win=262656 Len=0"
"36","3.872790","192.168.56.102","192.168.56.101","TCP","66","49727  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"37","3.872830","192.168.56.101","192.168.56.102","TCP","60","80  >  49725 [FIN, ACK] Seq=65 Ack=474 Win=31872 Len=0"
"38","3.872855","192.168.56.102","192.168.56.101","TCP","54","49725  >  80 [ACK] Seq=474 Ack=66 Win=262656 Len=0"
"39","3.872993","192.168.56.101","192.168.56.102","TCP","66","80  >  49727 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"40","3.873042","192.168.56.102","192.168.56.101","TCP","54","49727  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"41","3.873226","192.168.56.102","192.168.56.101","HTTP","552","GET /assets/jscript/jscript/bootstrap.min.js?r=i92482416 HTTP/1.1 "
"42","3.873389","192.168.56.101","192.168.56.102","TCP","60","80  >  49727 [ACK] Seq=1 Ack=499 Win=31872 Len=0"
"43","5.775093","192.168.56.101","192.168.56.102","HTTP","118","HTTP/1.1 204 No Content "
"44","5.775400","192.168.56.102","192.168.56.101","TCP","54","49727  >  80 [FIN, ACK] Seq=499 Ack=65 Win=262656 Len=0"
"45","5.775696","192.168.56.101","192.168.56.102","TCP","60","80  >  49727 [FIN, ACK] Seq=65 Ack=500 Win=31872 Len=0"
"46","5.775722","192.168.56.102","192.168.56.101","TCP","54","49727  >  80 [ACK] Seq=500 Ack=66 Win=262656 Len=0"
"47","5.775854","192.168.56.102","192.168.56.101","TCP","66","49728  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"48","5.776056","192.168.56.101","192.168.56.102","TCP","66","80  >  49728 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"49","5.776094","192.168.56.102","192.168.56.101","TCP","54","49728  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"50","5.776264","192.168.56.102","192.168.56.101","HTTP","520","GET /route.js?h=5834f329 HTTP/1.1 "
"51","5.776446","192.168.56.101","192.168.56.102","TCP","60","80  >  49728 [ACK] Seq=1 Ack=467 Win=31872 Len=0"
"52","8.205867","192.168.56.101","192.168.56.102","HTTP","118","HTTP/1.1 204 No Content "
"53","8.206202","192.168.56.102","192.168.56.101","TCP","54","49728  >  80 [FIN, ACK] Seq=467 Ack=65 Win=262656 Len=0"
"54","8.206675","192.168.56.101","192.168.56.102","TCP","60","80  >  49728 [FIN, ACK] Seq=65 Ack=468 Win=31872 Len=0"
"55","8.206755","192.168.56.102","192.168.56.101","TCP","54","49728  >  80 [ACK] Seq=468 Ack=66 Win=262656 Len=0"
"56","8.206893","192.168.56.102","192.168.56.101","TCP","66","49729  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"57","8.207189","192.168.56.101","192.168.56.102","TCP","66","80  >  49729 [SYN, ACK] Seq=0 Ack=1 Win=32120 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"58","8.207246","192.168.56.102","192.168.56.101","TCP","54","49729  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"59","8.207469","192.168.56.102","192.168.56.101","HTTP","572","GET /js/assets/jscript/assets/javascripts/javascripts/script.js?m=591852md41 HTTP/1.1 "
"60","8.207726","192.168.56.101","192.168.56.102","TCP","60","80  >  49729 [ACK] Seq=1 Ack=519 Win=31872 Len=0"
